省,市,区,全名,别名,性质,等级
吉林省,长春市,农安县,农安县中医医院,农安县中医医院,公立/中医医院,二级乙等
吉林省,长春市,农安县,农安宝华骨科医院,农安宝华骨科医院,民营/专科医院,未知
吉林省,长春市,农安县,农安县第二医院,农安县第二医院,公立/综合医院,二级乙等
吉林省,长春市,农安县,农安市兴华人民医院,农安市兴华人民医院,公立/综合医院,二级乙等
吉林省,长春市,农安县,农安县中医院,农安县中医院,公立/综合医院,二级乙等
吉林省,长春市,农安县,农安县兴华人民医院,农安县兴华人民医院,公立/综合医院,二级乙等
吉林省,长春市,农安县,农安市妇幼保健医院,农安市妇幼保健医院,公立/综合医院,二级甲等
吉林省,长春市,农安县,农安县人民医院,农安县人民医院,公立/综合医院,二级甲等
吉林省,长春市,农安县,农安市中医院,农安市中医院,公立/综合医院,二级甲等
吉林省,长春市,农安县,农安市人民医院,农安市人民医院,公立/综合医院,二级甲等
吉林省,长春市,农安县,农安县妇幼保健院,农安县妇幼保健院,公立/专科医院,二级甲等
吉林省,长春市,农安县,长春市康宁医院,长春市康宁医院,公立/专科医院,二级甲等
吉林省,长春市,农安县,农安市第二医院,农安市第二医院,公立/综合医院,未知
