省,市,区,全名,别名,性质,等级
吉林省,吉林市,龙潭区,吉林市龙潭区妇幼保健院,吉林市龙潭区妇幼保健院,公立/综合医院,一级甲等
吉林省,吉林市,龙潭区,吉林市龙潭区医院,吉林市龙潭区医院,公立/综合医院,一级甲等
吉林省,吉林市,龙潭区,吉林市龙潭区江北医院,吉林市龙潭区江北医院,公立/综合医院,一级甲等
吉林省,吉林市,龙潭区,吉林市龙潭区口腔医院,吉林市龙潭区口腔医院,公立/专科医院,二级乙等
吉林省,吉林市,龙潭区,吉林市职业病医院,吉林市职业病医院,公立/综合医院,二级乙等
吉林省,吉林市,龙潭区,吉林新世纪医院,吉林新世纪医院,公立/综合医院,二级乙等
吉林省,吉林市,龙潭区,吉林江北机械厂职工医院,吉林江北机械厂职工医院,公立/综合医院,二级乙等
吉林省,吉林市,龙潭区,吉林市口腔医院,吉林市口腔医院,公立/专科医院,二级乙等
吉林省,吉林市,龙潭区,吉林市龙潭区铁东医院,吉林市龙潭区铁东医院,公立/综合医院,二级乙等
吉林省,吉林市,龙潭区,吉林市龙潭区中医院,吉林市龙潭区中医院,公立/综合医院,二级甲等
吉林省,吉林市,龙潭区,吉林省吉林化学工业公司职工医院,吉林省吉林化学工业公司职工医院,公立/综合医院,三级甲等　　
吉林省,吉林市,龙潭区,吉林省火电第二工程公司职工医院,吉林省火电第二工程公司职工医院,公立/综合医院,一级甲等
