省,市,区,全名,别名,性质,等级
吉林省,吉林市,桦甸市,中国水利水电第一工程局第一职工医院,中国水利水电第一工程局第一职工医院,公立/综合医院,一级甲等
吉林省,吉林市,桦甸市,桦甸市肛肠医院,桦甸市肛肠医院,公立/综合医院,一级甲等
吉林省,吉林市,桦甸市,桦甸市妇幼保健站,桦甸市妇幼保健站,公立/综合医院,二级乙等
吉林省,吉林市,桦甸市,桦甸市康复医院,桦甸市康复医院,公立/综合医院,二级乙等
吉林省,吉林市,桦甸市,桦甸市城区医院,桦甸市城区医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,桦甸市中医院,桦甸市中医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,桦甸市第二人民医院,桦甸市第二人民医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,桦甸市人民医院,桦甸市人民医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,桦甸市第三人民医院,桦甸市第三人民医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,桦甸市财贸医院,桦甸市财贸医院,公立/综合医院,二级甲等
吉林省,吉林市,桦甸市,中国水利水电第一工程局红石分局职工医院,中国水利水电第一工程局红石分局职工医院,公立/综合医院,一级甲等
吉林省,吉林市,桦甸市,夹皮沟黄金矿业公司职工医院,夹皮沟黄金矿业公司职工医院,公立/综合医院,一级甲等
吉林省,吉林市,桦甸市,红石林业局职工医院,红石林业局职工医院,公立/综合医院,一级甲等
