省,市,区,全名,别名,性质,等级
吉林省,四平市,铁西区,四平市薄板厂烧伤医院,四平市薄板厂烧伤医院,公立/综合医院,一级甲等
吉林省,四平市,铁西区,四平华正眼科医院,华正眼科,民营/专科医院,未评级
吉林省,四平市,铁西区,四平市骨质增生病医院,四平市骨质增生病医院,民营/专科医院,二级甲等
吉林省,四平市,铁西区,四平市传染病医院,四平市传染病医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平爱龄奇医院,四平爱龄奇医院,民营/综合医院,二级甲等
吉林省,四平市,铁西区,四平市妇婴医院,四平市妇婴医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平市中心医院,四平市中心医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平卫校临床医院,四平卫校临床医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平市平西医院,四平市平西医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平市胃肠病研究所,四平市胃肠病研究所,公立/综合医院,二级甲等
吉林省,四平市,铁西区,四平市中西医结合医院,四平市中西医结合医院,公立/综合医院,二级甲等
吉林省,四平市,铁西区,吉林省神经精神病院,吉林省神经精神病院,公立/综合医院,三级甲等　　
吉林省,四平市,铁西区,吉林省第三人民医院,吉林省第三人民医院,公立/综合医院,三级甲等　　
吉林省,四平市,铁西区,四平神农医院,四平神农医院,民营/综合医院,未知
吉林省,四平市,铁西区,长春铁路局四平铁路分局铁路医院,长春铁路局四平铁路分局铁路医院,公立/综合医院,一级甲等
