省,市,区,全名,别名,性质,等级
吉林省,辽源市,东辽县,东辽县中医院,东辽县中医院,公立/中医医院,一级甲等
吉林省,辽源市,东辽县,辽源东辽建安中心医院,东辽三院,公立/综合医院,二级乙等
吉林省,辽源市,东辽县,东辽县建安镇中心卫生院,东辽县建安镇中心卫生院,公立/综合医院,二级乙等
吉林省,辽源市,东辽县,东辽县石河乡卫生院,东辽县石河乡卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县宴平乡卫生院,东辽县宴平乡卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县椅山乡卫生院,东辽县椅山乡卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县金州乡卫生院,东辽县金州乡卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县凌云乡卫生院,东辽县凌云乡卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县平岗镇卫生院,东辽县平岗镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县寿山镇卫生院,东辽县寿山镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县安恕镇卫生院,东辽县安恕镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县石驿镇卫生院,东辽县石驿镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县金岗镇卫生院,东辽县金岗镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县云顶镇卫生院,东辽县云顶镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县安石镇卫生院,东辽县安石镇卫生院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县第三人民医院,东辽县第三人民医院,民营/综合医院,一级甲等
吉林省,辽源市,东辽县,东辽县人民医院,东辽县人民医院,公立/综合医院,二级甲等
吉林省,辽源市,东辽县,东辽县第二人民医院,东辽县第二人民医院,民营/综合医院,二级甲等
