省,市,区,全名,别名,性质,等级
吉林省,通化市,梅河口市,梅河口市妇幼保健院,梅河口市妇幼保健院,公立/妇幼保健医院,一级甲等
吉林省,通化市,梅河口市,通化铁路分局梅河口医院,通化铁路分局梅河口医院,公立/综合医院,二级乙等
吉林省,通化市,梅河口市,马振友皮肤病研究所,马振友皮肤病研究所,民营/门诊,未评级
吉林省,通化市,梅河口市,梅河口爱民医院,梅河口爱民医院,公立/综合医院,二级甲等
吉林省,通化市,梅河口市,梅河口劳改支队医院,梅河口劳改支队医院,公立/综合医院,未知
吉林省,通化市,梅河口市,梅河口市医院,梅河口市医院，爱民医院,公立/综合医院,二级甲等
吉林省,通化市,梅河口市,吉林省梅河口市张德壮中医诊所,吉林省梅河口市张德壮中医诊所,个体户/专科医院,未知
吉林省,通化市,梅河口市,河口县农垦三医院精神康复科,河口县农垦三医院精神康复科,公立/综合医院,二级甲等
吉林省,通化市,梅河口市,梅河口市81899部队皮肤病医院,梅河口市81899部队皮肤病医院,公立/综合医院,二级甲等
吉林省,通化市,梅河口市,梅河口市第二医院,梅河口市第二医院,公立/综合医院,二级甲等
吉林省,通化市,梅河口市,通化市海龙精神病医院,通化市海龙精神病医院,公立/综合医院,二级乙等
吉林省,通化市,梅河口市,梅河口市第四医院,梅河口市第四医院,公立/综合医院,未知
