省,市,区,全名,别名,性质,等级
吉林省,通化市,辉南县,辉南县德仁医院,辉南县德仁医院,个体户/综合医院,一级甲等
吉林省,通化市,辉南县,吉林省辉南县抚民镇医院,吉林省辉南县抚民镇医院,公立/综合医院,一级甲等
吉林省,通化市,辉南县,辉南县妇幼保健院,辉南县妇幼保健院,公立/妇幼保健医院,未知
吉林省,通化市,辉南县,辉南县血栓病专科医院,辉南县血栓病专科医院,公立/综合医院,一级甲等
吉林省,通化市,辉南县,辉南森林经营局职工医院,辉南森林经营局职工医院,公立/综合医院,一级甲等
吉林省,通化市,辉南县,吉林省杉松岗煤矿职工医院,吉林省杉松岗煤矿职工医院,公立/综合医院,二级乙等
吉林省,通化市,辉南县,辉南县康达医院,辉南县康达医院,民营/综合医院,二级乙等
吉林省,通化市,辉南县,辉南县中医院,辉南县中医院,公立/综合医院,二级甲等
吉林省,通化市,辉南县,辉南县人民医院,辉南县人民医院,公立/综合医院,二级甲等
吉林省,通化市,辉南县,辉南县第三人民医院,辉南县第三人民医院,公立/综合医院,二级甲等
吉林省,通化市,辉南县,辉南县第二人民医院,辉南县第二人民医院,公立/综合医院,二级甲等
