省,市,区,全名,别名,性质,等级
吉林省,白山市,八道江区,白山市康宁医院,白山市康宁医院,公立/综合医院,一级甲等
吉林省,白山市,八道江区,白山市八道江区通济医院,白山市八道江区通济医院,公立/综合医院,一级甲等
吉林省,白山市,八道江区,白山市妇幼保健院,白山市妇幼保健院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,白山市红十字会医院,白山市红十字会医院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,白山市中心医院,白山市中心医院,公立/综合医院,三级乙等
吉林省,白山市,八道江区,白山市二轻医院,白山市二轻医院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,白山市神经精神病医院,白山市神经精神病医院,公立/专科医院,二级甲等
吉林省,白山市,八道江区,白山市八道江区妇幼保健院,白山市八道江区妇幼保健院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,白山市八道江第二人民医院,白山市八道江第二人民医院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,白山市中医院,白山市中医院,公立/综合医院,二级甲等
吉林省,白山市,八道江区,板石沟铁矿职工医院,板石沟铁矿职工医院,公立/综合医院,一级甲等
吉林省,白山市,八道江区,通化矿务局总医院,通化矿务局总医院,公立/综合医院,三级甲等　　
