省,市,区,全名,别名,性质,等级
吉林省,白城市,洮北区,白城炮旅弘军医院,白城炮旅弘军医院,公立/综合医院,一级甲等
吉林省,白城市,洮北区,解放军第五二一医院,解放军第五二一医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城医高专附属医院,白城医学高等专科学校附属医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,洮北区二医院,洮北区二医院,公立/综合医院,未知
吉林省,白城市,洮北区,白城博爱医院,白城市红十字会医院,其他/综合医院,未评级
吉林省,白城市,洮北区,白城曙光医院,白城曙光男科医院,其他/专科医院,未知
吉林省,白城市,洮北区,白城铁路医院,白城铁路医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城市洮北区整骨医院,白城市洮北区整骨医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城市洮北区中医院,白城市洮北区中医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城市传染病医院,白城市传染病医院,公立/专科医院,二级甲等
吉林省,白城市,洮北区,白城市口腔医院,白城市口腔医院,公立/专科医院,二级甲等
吉林省,白城市,洮北区,白城中医院,白城中医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城市医院,白城市医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城中心医院,白城中心医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,中国人民解放军第三二一医院,中国人民解放军第三二一医院,公立/综合医院,二级甲等
吉林省,白城市,洮北区,白城医学高等专科学校附属医院,白城医学高等专科学校附属医院,公立/综合医院,二级甲等
