省,市,区,全名,别名,性质,等级
黑龙江省,哈尔滨市,道里区,黑龙江边防总队医院,武警黑龙江边防总队医院_哈尔滨边防总队医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨儿童医院,儿童医院,公立/儿童医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区通江医院,哈尔滨市道里区通江医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区中医医院,哈尔滨市道里区中医医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区卫生保健院,哈尔滨市道里区卫生保健院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区劳教医院,哈尔滨市道里区劳教医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨友好风湿病医院,哈尔滨友好风湿病医院,民营/专科医院,民营医院
黑龙江省,哈尔滨市,道里区,哈拖医院,哈拖医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,黑龙江边防总队医院,中国人民武装警察部队黑龙江省边防总队医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,黑龙江省第二医院,黑龙江省职业病防治院,公立/综合医院,三级乙等
黑龙江省,哈尔滨市,道里区,哈尔滨市卫协第一医院,哈尔滨市卫协第一医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨维多利亚妇产医院,黑龙江维多利亚女子医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区人民医院,哈尔滨市道里区人民医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨市虹桥医院,哈尔滨市虹桥医院,个体户/综合医院,未知
黑龙江省,哈尔滨市,道里区,中国一汽哈尔滨汽车齿轮厂职工医院,中国一汽哈尔滨汽车齿轮厂职工医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,黑龙江省第二医院黑龙江省职业病防治院,黑龙江省第二医院黑龙江省职业病防治院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,黑龙江惠好医院,黑龙江惠好耳鼻喉中心、黑龙江惠好胃肠疾病诊疗中心、黑龙江惠好计划生育中心,合资/综合医院,民营医院
黑龙江省,哈尔滨市,道里区,黑龙江虹桥医院,黑龙江虹桥不孕不育医院、黑龙江虹桥不孕不育医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市虹桥医院,哈尔滨市虹桥医院,民营/综合医院,未知
黑龙江省,哈尔滨市,道里区,哈尔滨市车辆厂职工医院,哈尔滨市车辆厂职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市公安医院,哈尔滨市公安医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区公费医疗医院,哈尔滨市道里区公费医疗医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区牙病防治院,哈尔滨市道里区牙病防治院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区妇幼保健所,哈尔滨市道里区妇幼保健所,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨道里区明明医院,哈尔滨道里区明明医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市朝鲜民族医院,哈尔滨市朝鲜民族医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市第十医院,哈尔滨市第十医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市眼科医院,哈尔滨市眼科医院,公立/专科医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市口腔医院,哈尔滨市口腔医院,公立/专科医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市第一医院,哈尔滨市第一医院发育行为科,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,黑龙江省医院,黑龙江省中日友谊医院,合资/综合医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市中医医院,哈尔滨市中医医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市红十字中心医院,哈尔滨市妇产医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市儿童医院,哈尔滨市儿童医院,公立/专科医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市妇幼保健院,哈尔滨市妇幼保健院,公立/专科医院,三级甲等　　
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区新发红十字医院,哈尔滨市道里区新发红十字医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区妇产医院,哈尔滨市道里区妇产医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市寄生虫病防治院,哈尔滨市寄生虫病防治院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市介入专科医院,哈尔滨市介入专科医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市道里区中西医结合医院,哈尔滨市道里区中西医结合医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨锅炉厂职工医院,哈尔滨锅炉厂职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道里区,哈尔滨市木器厂职工医院,哈尔滨市木器厂职工医院,公立/综合医院,二级甲等
