省,市,区,全名,别名,性质,等级
黑龙江省,哈尔滨市,南岗区,哈尔滨盛京白癜风医学研究院,哈尔滨白癜风医院,其他/专科医院,未评级
黑龙江省,哈尔滨市,南岗区,哈尔滨银屑病医院,哈尔滨冰城银屑病医院_黑龙江哈尔滨银屑病医院,其他/专科医院,未知
黑龙江省,哈尔滨市,南岗区,黑龙江省青年医学会附属医院,黑龙江省青年医学会附属医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,南岗区,铁道部第三工程局哈尔滨医院,铁道部第三工程局哈尔滨医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,黑龙江省中龙医药专科研究院（民营）,黑龙江省中龙医药专科研究院,个体户/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,哈尔滨壮一堂中医医院,哈尔滨壮一堂中医性病医院（性病科）,公立/综合医院,特级医院
黑龙江省,哈尔滨市,南岗区,哈尔滨臻美医疗美容门诊部,哈尔滨臻美整形医院,民营/专科医院,民营医院
黑龙江省,哈尔滨市,南岗区,黑龙江省总工会医院,总工会医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,黑龙江省总工会医院,黑龙江省总工会医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,黑龙江和平医院,黑龙江和平医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,黑龙江瑞丽整形美容医院,哈尔滨瑞丽整形美容医院_哈尔滨整形医院,民营/其他,民营医院
黑龙江省,哈尔滨市,南岗区,哈尔滨市南岗区王岗中心医院,哈尔滨市南岗区王岗医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,南岗区,哈尔滨皮肤病医院,黑龙江皮肤病医院,合资/专科医院,未知
黑龙江省,哈尔滨市,南岗区,黑龙江省消防总队医院,哈尔滨省消防总队医院,公立/综合医院,未评级
黑龙江省,哈尔滨市,南岗区,黑龙江瑞京糖尿病医院,黑龙江瑞京糖尿病医院,民营/专科医院,未评级
黑龙江省,哈尔滨市,南岗区,黑龙江和美妇产医院,哈尔滨和美妇产医院,民营/专科医院,民营医院
黑龙江省,哈尔滨市,南岗区,哈尔滨哈美莱医疗美容医院,哈美莱医疗美容医院,民营/专科医院,民营医院
黑龙江省,哈尔滨市,南岗区,黑龙江现代肛肠医院,哈尔滨现代肛肠医院,民营/专科医院,民营医院
黑龙江省,哈尔滨市,南岗区,哈尔滨友谊神康医院,哈尔滨友谊男科医院,民营/专科医院,民营医院
