省,市,区,全名,别名,性质,等级
黑龙江省,哈尔滨市,道外区,哈尔滨市道外区人民医院,哈尔滨市道外区人民医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市肉类联合加工厂职工医院,哈尔滨市肉类联合加工厂职工医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道外区,黑龙江省松滨监狱医院,黑龙江省松滨监狱医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨铁路分局北安医院,哈尔滨铁路分局北安医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市道外区纯化医院,哈尔滨市道外区纯化医院,公立/综合医院,一级乙等
黑龙江省,哈尔滨市,道外区,黑龙江中亚癫痫病医院,黑龙江中亚癫痫病医院,其他/专科医院,未评级
黑龙江省,哈尔滨市,道外区,陈志强中医骨科诊所,陈氏正骨院创始人陈占奎纪念医寓,民营/其他,未评级
黑龙江省,哈尔滨市,道外区,黑龙江省医院道外分院,黑龙江省医院道外分院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,道外区,黑龙江康元神经专科医院,黑龙江康元神经专科医院,个体户/专科医院,未知
黑龙江省,哈尔滨市,道外区,黑龙江省生殖保健中心附属医院,黑龙江省生殖保健中心,公立/专科医院,未知
黑龙江省,哈尔滨市,道外区,哈尔滨市永江皮肤病研究所,哈尔滨皮肤病研究所,民营/专科医院,未知
黑龙江省,哈尔滨市,道外区,黑龙江省海员总医院,黑龙江省海员总医院,公立/综合医院,未知
黑龙江省,哈尔滨市,道外区,哈尔滨道外区神经专科医院,哈尔滨道外区神经专科医院,公立/专科医院,一级乙等
黑龙江省,哈尔滨市,道外区,哈尔滨市道外区东莱医院,哈尔滨市道外区东莱医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市老年医院,哈尔滨市老年医院,公立/综合医院,二级乙等
黑龙江省,哈尔滨市,道外区,哈尔滨市第七医院,哈尔滨市第七医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市北方中医肿瘤研究所,哈尔滨市北方中医肿瘤研究所,民营/专科医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市太平区民主医院,哈尔滨市太平区民主医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市太平区团结医院,哈尔滨市太平区团结医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市道外区中西医结合医院,哈尔滨市道外区中西医结合医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市第八医院,哈尔滨市第八医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市第七人民医院,哈尔滨市第七人民医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市粮食局职工医院,哈尔滨市粮食局职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,道外区,哈尔滨市道外区牙病防治院,哈尔滨市道外区牙病防治院,公立/专科医院,二级甲等
