省,市,区,全名,别名,性质,等级
黑龙江省,哈尔滨市,香坊区,哈尔滨公安消防医院,哈尔滨公安消防医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江省公安安康医院,黑龙江省公安安康医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市动力区中医院,哈尔滨市动力区中医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,国营哈尔滨亚麻纺织厂职工医院,国营哈尔滨亚麻纺织厂职工医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨建成集团有限公司医院,哈尔滨建成集团有限公司医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市香坊区肛肠医院,哈尔滨市香坊区肛肠医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨传染病院,哈尔滨传染病院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江省电力医院,哈尔滨医科大学第五临床医学院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江省公安厅安康医院,黑龙江省公安厅安康医院,公立/综合医院,一级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江远东心脑血管医院,哈尔滨远东心脑血管医院,合资/专科医院,未评级
黑龙江省,哈尔滨市,香坊区,哈尔滨延福中医医院,哈尔滨延福中医医院,民营/综合医院,未知
黑龙江省,哈尔滨市,香坊区,哈尔滨市第一职工医院,哈尔滨市第一职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨铁路分局第二职工医院,哈尔滨铁路分局第二职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市动力区朝阳医院,哈尔滨市动力区朝阳医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市动力区黎明医院,哈尔滨市动力区黎明医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市香坊区产院,哈尔滨市香坊区产院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市香坊区红十字妇产医院,哈尔滨市香坊区红十字妇产医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨轴承厂职工医院,哈尔滨轴承厂职工医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市第六医院,哈尔滨市第六医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市动力区第二人民医院,哈尔滨市动力区第二人民医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市动力区护理医院,哈尔滨市动力区护理医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,动力区第二人民医院,动力区第二人民医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江省中医院,黑龙江省中医研究院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,香坊区,黑龙江省林业总医院黑龙江省红十字会医院,黑龙江省森工总医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,香坊区,哈尔滨市传染病医院,哈尔滨市传染病医院,公立/专科医院,三级甲等　　
黑龙江省,哈尔滨市,香坊区,哈尔滨市第五医院,哈尔滨市第五医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,香坊区,黑龙江中医药大学附属第一医院,黑龙江中医药大学附属第一医院,公立/综合医院,三级甲等　　
黑龙江省,哈尔滨市,香坊区,哈尔滨市TDP研究会慢性病康复医院,哈尔滨市TDP研究会慢性病康复医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨工业大学医院,哈尔滨工业大学医院,公立/综合医院,二级甲等
黑龙江省,哈尔滨市,香坊区,哈尔滨市香坊区口腔病防治院,哈尔滨市香坊区口腔病防治院,公立/专科医院,二级甲等
黑龙江省,哈尔滨市,香坊区,黑龙江国营建成机械厂职工医院,黑龙江国营建成机械厂职工医院,公立/综合医院,一级甲等
