省,市,区,全名,别名,性质,等级
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市铁锋区医院,齐齐哈尔市铁锋区医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市商业职工医院,齐齐哈尔市商业职工医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市铁锋区中医院,齐齐哈尔市铁锋区中医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市中医医院,齐齐哈尔中医院、齐齐哈尔市第三医院,公立/综合医院,三级甲等　　
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔医学院附属第三医院,齐齐哈尔铁路中心医院、齐市肿瘤医院,公立/综合医院,三级甲等　　
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市结核病防治院,齐齐哈尔市结核病防治院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市第六医院,齐齐哈尔市第六医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,哈尔滨铁路局齐齐哈尔专科医院,哈尔滨铁路局齐齐哈尔专科医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔建筑防水材料厂职工医院,齐齐哈尔建筑防水材料厂职工医院,公立/综合医院,二级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔铁路分局中心医院,齐齐哈尔铁路分局中心医院,公立/综合医院,三级甲等　　
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔胃肠病医院,齐齐哈尔肛肠医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔中医院,齐齐哈尔中医院,公立/专科医院,三级甲等　　
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市结核病院,齐齐哈尔市结核病院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔和平医院,齐齐哈尔和平医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔铁路车辆集团医院,齐齐哈尔铁路车辆集团医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔医学院第三附属医院,齐齐哈尔医学院第三附属医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔现代男科医院,齐齐哈尔现代男科医院,民营/专科医院,未知
黑龙江省,齐齐哈尔市,铁峰区,齐齐哈尔市肿瘤医院,齐齐哈尔市肿瘤医院,公立/综合医院,一级甲等
