省,市,区,全名,别名,性质,等级
黑龙江省,齐齐哈尔市,甘南县,甘南县查哈阳农场金光分场医院,甘南县查哈阳农场金光分场医院,公立/综合医院,未知
黑龙江省,齐齐哈尔市,甘南县,甘南县查哈阳农场丰收分场,甘南县查哈阳农场丰收分场,公立/综合医院,未知
黑龙江省,齐齐哈尔市,甘南县,甘南县查哈阳农场花香分场医院,甘南县查哈阳农场花香分场医院,公立/综合医院,未知
黑龙江省,齐齐哈尔市,甘南县,甘南县查哈阳农场长吉岗分场医院,甘南县查哈阳农场长吉岗分场医院,公立/综合医院,未知
黑龙江省,齐齐哈尔市,甘南县,甘南县北京市双河农场医院,甘南县北京市双河农场医院,公立/综合医院,二级乙等
黑龙江省,齐齐哈尔市,甘南县,甘南县商业职工医院,甘南县商业职工医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,甘南县,甘南县妇幼保健院,甘南县妇幼保健院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,甘南县,甘南县中医院,甘南县中医院,公立/综合医院,一级甲等
黑龙江省,齐齐哈尔市,甘南县,甘南州人民医院,甘南州人民医院,公立/综合医院,二级甲等
黑龙江省,齐齐哈尔市,甘南县,甘南县人民医院,甘南县人民医院,公立/综合医院,二级甲等
黑龙江省,齐齐哈尔市,甘南县,甘南县查哈阳农场金边分场医院,甘南县查哈阳农场金边分场医院,公立/综合医院,未知
黑龙江省,齐齐哈尔市,甘南县,查哈阳农场职工医院,查哈阳农场职工医院,公立/综合医院,一级甲等
