省,市,区,全名,别名,性质,等级
黑龙江省,双鸭山市,宝山区,中国人民解放军第六十四医院,中国人民解放军第六十四医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,施甸县中医院,施甸县中医院,公立/综合医院,未知
黑龙江省,双鸭山市,宝山区,施甸县人民医院,施甸县人民医院,公立/综合医院,未知
黑龙江省,双鸭山市,宝山区,施甸县妇幼保健院,施甸县妇幼保健院,公立/综合医院,一级乙等
黑龙江省,双鸭山市,宝山区,腾冲县安定医院精神病医院,腾冲县安定医院精神病医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,腾冲县安定医院,腾冲县安定医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,腾冲县妇幼保健院,腾冲县妇幼保健院,公立/综合医院,二级乙等
黑龙江省,双鸭山市,宝山区,腾冲县中医院,腾冲县中医院,公立/综合医院,二级乙等
黑龙江省,双鸭山市,宝山区,腾冲县人民医院,腾冲县人民医院,公立/综合医院,二级甲等
黑龙江省,双鸭山市,宝山区,滕冲县第二人民医院,滕冲县第二人民医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,昌宁县中医医院,昌宁县中医医院,公立/综合医院,二级乙等
黑龙江省,双鸭山市,宝山区,昌宁县中医院,昌宁县中医院,公立/综合医院,二级乙等
黑龙江省,双鸭山市,宝山区,昌宁县人民医院,昌宁县人民医院,公立/综合医院,二级乙等
黑龙江省,双鸭山市,宝山区,昌宁县妇幼保健院,昌宁县妇幼保健院,公立/综合医院,二级甲等
黑龙江省,双鸭山市,宝山区,湾甸农场职工医院,湾甸农场职工医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,安利医院,安利医院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,龙陵县妇幼保健院,龙陵县妇幼保健院,公立/综合医院,一级甲等
黑龙江省,双鸭山市,宝山区,保山市人民医院,保山市人民医院,公立/综合医院,三级乙等
黑龙江省,双鸭山市,宝山区,保山市第二人民医院,保山市第二人民医院,公立/综合医院,二级甲等
黑龙江省,双鸭山市,宝山区,武警保山医院,武警保山医院,公立/综合医院,一级甲等
