省,市,区,全名,别名,性质,等级
黑龙江省,鸡西市,虎林市,虎林迎春林业局职工医院,虎林迎春林业局职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市庆丰农场职工医院,虎林市庆丰农场职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市云山农场职工医院,虎林市云山农场职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市八五八农场职工医院,虎林市八五八农场职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市八五六农场职工医院,虎林市八五六农场职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市八五四农场医院,虎林市八五四农场医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市东方红林业局职工医院,虎林市东方红林业局职工医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市红十字医院,虎林市红十字医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市中医院,虎林市中医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,虎林市,虎林市人民医院,虎林市人民医院,公立/综合医院,三级甲等　　
黑龙江省,鸡西市,虎林市,虎林县中医院,虎林县中医院,公立/中医医院,未知
