省,市,区,全名,别名,性质,等级
黑龙江省,鸡西市,密山市,黑龙江省八五一一农场职工医院,黑龙江省八五一一农场职工医院,公立/综合医院,一级甲等
黑龙江省,鸡西市,密山市,密山市精神病防治院,密山市精神病防治院,公立/综合医院,未知
黑龙江省,鸡西市,密山市,密山市中医院,密山市中医院,公立/综合医院,二级乙等
黑龙江省,鸡西市,密山市,密山市人民医院,密山市人民医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,牡丹江农管局八五七农场医院,牡丹江农管局八五七农场医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,牡丹江农管局8511农场医院,牡丹江农管局8511农场医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,密山市公安联合医院,密山市公安联合医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,密山市裴德医院,密山市裴德医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,密山市民族医院,密山市民族医院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,密山市口腔医院,密山市口腔医院,公立/专科医院,二级甲等
黑龙江省,鸡西市,密山市,密山市妇幼保健院,密山市妇幼保健院,公立/综合医院,二级甲等
黑龙江省,鸡西市,密山市,黑龙江省八五七农场职工医院,黑龙江省八五七农场职工医院,公立/综合医院,一级甲等
黑龙江省,鸡西市,密山市,黑龙江省农垦总局牡丹江分局中心医院,黑龙江省农垦总局牡丹江分局中心医院,公立/综合医院,一级甲等
