省,市,区,全名,别名,性质,等级
黑龙江省,大庆市,让胡路区,大庆石油管理局乘风第二职工医院,大庆石油管理局乘风第二职工医院,公立/综合医院,一级甲等
黑龙江省,大庆市,让胡路区,普济中医医院,大庆康复医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆九洲男科医院,大庆男科医院,民营/专科医院,未评级
黑龙江省,大庆市,让胡路区,大庆哮喘病医院,大庆市东海医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆油田总医院集团大庆乘风医院,大庆油田总医院集团大庆乘风医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆友谊医院,大庆友谊医院,民营/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆老年医院,大庆老年人医养康复中心,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆电业局职工医院,大庆电业局职工医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆石油管理局安装公司医院,大庆石油管理局安装公司医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆石油管理局钻井一公司医院,大庆石油管理局钻井一公司医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆石油管理局采油六厂医院,大庆石油管理局采油六厂医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆市让胡路区铁路医院,大庆市让胡路区铁路医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆市第四医院,大庆市第四医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆市第三医院,大庆市第三医院,公立/综合医院,三级甲等　　
黑龙江省,大庆市,让胡路区,大庆九洲泌尿医院,大庆九洲男科医院,民营/专科医院,未评级
黑龙江省,大庆市,让胡路区,大庆市康复医院,大庆市康复医院,公立/综合医院,二级甲等
黑龙江省,大庆市,让胡路区,大庆现代女子医院,大庆女子医院,民营/专科医院,未知
