省,市,区,全名,别名,性质,等级
黑龙江省,牡丹江市,宁安市,牡丹江市神经精神病医院,牡丹江市神经精神病医院,公立/综合医院,一级甲等
黑龙江省,牡丹江市,宁安市,宁安县东京城林业局职工医院,宁安县东京城林业局职工医院,公立/综合医院,一级甲等
黑龙江省,牡丹江市,宁安市,宁安市精神病院,宁安市精神病院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市眼病专科医院,宁安市眼病专科医院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市妇产医院,宁安市妇产医院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市中医院,宁安市中医院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市第二医院,宁安市第二医院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市人民医院,宁安市人民医院,公立/综合医院,二级甲等
黑龙江省,牡丹江市,宁安市,宁安市妇幼保健院,宁安市妇幼保健院,公立/妇幼保健医院,未知
黑龙江省,牡丹江市,宁安市,牡丹江市铁岭医院,牡丹江市铁岭医院,公立/综合医院,一级甲等
黑龙江省,牡丹江市,宁安市,牡丹江精神病医院,牡丹江精神病医院,公立/综合医院,一级甲等
