省,市,区,全名,别名,性质,等级
黑龙江省,佳木斯市,前进区,佳木斯铁路分局佳木斯医院,佳木斯铁路分局佳木斯医院,公立/综合医院,一级甲等
黑龙江省,佳木斯市,前进区,中国人民解放军第二二四医院,中国人民解放军第二二四医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,前进区,建三江管局中心医院,建三江管局中心医院,公立/综合医院,一级甲等
黑龙江省,佳木斯市,前进区,佳木斯市中医院,佳木斯市中医医院、佳木斯中医院,公立/综合医院,三级甲等　　
黑龙江省,佳木斯市,前进区,佳木斯市传染病院,佳木斯市传染病院,公立/综合医院,一级甲等
黑龙江省,佳木斯市,前进区,佳木斯市肿瘤结核医院,佳木斯市肿瘤结核医院,公立/综合医院,三级甲等　　
黑龙江省,佳木斯市,前进区,佳木斯市精神病院,佳木斯市精神病院,公立/综合医院,三级乙等
黑龙江省,佳木斯市,前进区,佳木斯中心医院,佳木斯中心医院,公立/综合医院,三级甲等　　
黑龙江省,佳木斯市,前进区,黑龙江国营农场总局机关职工医院,黑龙江国营农场总局机关职工医院,公立/综合医院,一级甲等
黑龙江省,佳木斯市,前进区,佳木斯市第三人民医院佳木斯市精神病院,佳木斯市第三人民医院佳木斯市精神病院,公立/综合医院,一级甲等
黑龙江省,佳木斯市,前进区,佳木斯224医院,中国人民解放军224医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,前进区,省农垦总局机关职工医院,省农垦总局机关职工医院,公立/综合医院,一级甲等
