省,市,区,全名,别名,性质,等级
黑龙江省,佳木斯市,富锦市,富锦市妇幼保健院,富锦市妇幼保健院,公立/妇幼保健医院,一级甲等
黑龙江省,佳木斯市,富锦市,富锦市锦西医院,富锦市锦西医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市中医院,富锦市中医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市第四医院,富锦市第四医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市第二医院,富锦市第二医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市铁路医院,富锦市铁路医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市肛肠医院,富锦市肛肠医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市口腔医院,富锦市口腔医院,公立/专科医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市红十字医院,富锦市红十字医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市第三医院,富锦市第三医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市第一医院,富锦市第一医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦市中心医院,富锦市中心医院,公立/综合医院,二级甲等
黑龙江省,佳木斯市,富锦市,富锦拖拉机厂职工医院,富锦拖拉机厂职工医院,民营/综合医院,二级甲等
