省,市,区,全名,别名,性质,等级
黑龙江省,黑河市,北安市,首钢庆华工具厂职工医院,首钢庆华工具厂职工医院,公立/综合医院,一级甲等
黑龙江省,黑河市,北安市,黑龙江省第三医院,黑龙江省神经精神病防治院,公立/综合医院,三级甲等　　
黑龙江省,黑河市,北安市,北安市第一人民医院,北安市第一人民医院,公立/综合医院,一级甲等
黑龙江省,黑河市,北安市,北安市第二人民医院,北安市第二人民医院,公立/综合医院,二级乙等
黑龙江省,黑河市,北安市,北安市结核病医院,北安市结核病医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市五官医院,北安市五官医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市妇幼保健医院,北安市妇幼保健医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市兆麟医院,北安市兆麟医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市铁西医院,北安市铁西医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安铁路医院,北安铁路医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市第三人民医院,北安市第三人民医院,公立/综合医院,二级甲等
黑龙江省,黑河市,北安市,北安市中医院,北安市中医院,公立/中医医院,未知
黑龙江省,黑河市,北安市,德都县人民医院,德都县人民医院,公立/综合医院,一级甲等
