省,市,区,全名,别名,性质,等级
陕西省,西安市,碑林区,西安远大白癜风医院,陕西西安治疗白癜风专科医院,其他/专科医院,未评级
陕西省,西安市,碑林区,西安远大白癜风皮肤病医院,西安白癜风专科医院哪里好_西安治疗白癜风好的医院,其他/专科医院,未评级
陕西省,西安市,碑林区,西安碑林科大毛发研究所,西安科大医院,其他/其他,未评级
陕西省,西安市,碑林区,陕西远大男科医院,西安男科医院,其他/专科医院,未知
陕西省,西安市,碑林区,西安高一生医疗美容医院,高一生医疗美容医院,民营/专科医院,民营医院
陕西省,西安市,碑林区,西北工业大学医院,西北工业大学医院,公立/综合医院,二级乙等
陕西省,西安市,碑林区,西北有色医院,西北有色医院,公立/综合医院,二级乙等
陕西省,西安市,碑林区,西安普瑞眼科医院,西安普瑞眼科医院,民营/专科医院,民营医院
陕西省,西安市,碑林区,西安慈爱妇科医院,西安慈爱妇科医院,民营/妇幼保健医院,未知
陕西省,西安市,碑林区,西安华医医院风湿科,西安风湿骨病专科医院,民营/综合医院,未知
陕西省,西安市,碑林区,西安类风湿康复中心,西安华医医院,公立/专科医院,二级甲等
陕西省,西安市,碑林区,西安协同医院,西安协同生殖医学医院,民营/综合医院,未知
陕西省,西安市,碑林区,陕西省康复中心,陕西省康复中心,公立/综合医院,未知
陕西省,西安市,碑林区,西安市碑林区妇幼保健站,西安市碑林区妇幼保健站,公立/专科医院,一级甲等
陕西省,西安市,碑林区,西安市碑林区中医院,西安市碑林区中医院,公立/综合医院,一级甲等
陕西省,西安市,碑林区,西安市碑林区口腔医院,西安市碑林区口腔医院,公立/专科医院,一级甲等
陕西省,西安市,碑林区,西安华医医院,西安华医医院,民营/综合医院,未知
陕西省,西安市,碑林区,西安民建中医院,西安民建中医院,民营/综合医院,一级甲等
陕西省,西安市,碑林区,西安华夏医院,西安华夏医院,公立/综合医院,一级甲等
陕西省,西安市,碑林区,西安华佗医院,西安华佗医院,民营/综合医院,一级甲等
陕西省,西安市,碑林区,西安大同医院,西安大同医院,民营/综合医院,一级甲等
陕西省,西安市,碑林区,西安宇恒医院,西安宇恒医院,民营/综合医院,一级甲等
陕西省,西安市,碑林区,西安工程科技大学医院,西安工程科技大学医院,公立/综合医院,一级甲等
陕西省,西安市,碑林区,西安市碑林区东关医院,西安市碑林区东关医院,公立/综合医院,一级甲等
陕西省,西安市,碑林区,西安市碑林区南大街医院,西安市碑林区南大街医院,公立/综合医院,一级甲等
陕西省,西安市,碑林区,西安市南天医院,西安市南天医院,公立/综合医院,二级甲等
陕西省,西安市,碑林区,西安友谊中医院,西安友谊中医院,公立/综合医院,二级甲等
