省,市,区,全名,别名,性质,等级
陕西省,西安市,灞桥区,西安市亚西光电仪器厂职工医院,西安市亚西光电仪器厂职工医院,公立/综合医院,一级甲等
陕西省,西安市,灞桥区,西安市灞桥区红十字会医院,西安市灞桥区红十字会医院,公立/综合医院,一级甲等
陕西省,西安市,灞桥区,西安市灞桥区中医院,西安市灞桥区中医院,公立/综合医院,一级甲等
陕西省,西安市,灞桥区,西安市灞桥区妇幼保健站,西安市灞桥区妇幼保健站,公立/专科医院,一级甲等
陕西省,西安市,灞桥区,西安市灞桥区精神病院,西安市灞桥区精神病院,公立/专科医院,一级甲等
陕西省,西安市,灞桥区,西安市灞桥区中医整骨医院,西安市灞桥区中医整骨医院,公立/专科医院,二级甲等
陕西省,西安市,灞桥区,西安市灞桥区人民医院,西安市灞桥区人民医院,公立/综合医院,二级甲等
陕西省,西安市,灞桥区,陕西省纺织医院,西安医学院第二附属医院,公立/综合医院,三级乙等
陕西省,西安市,灞桥区,第四军医大学唐都医院,延安中央医院,公立/综合医院,三级甲等　　
陕西省,西安市,灞桥区,西安中医脑病医院,陕西中医药大学附属脑病医院,民营/专科医院,未知
陕西省,西安市,灞桥区,陕西省人民医院唐城分院,陕西省人民医院唐城分院,公立/综合医院,二级甲等
陕西省,西安市,灞桥区,西安灞桥东城医院,西安东城医院,民营/专科医院,民营医院
陕西省,西安市,灞桥区,西安大平医院,西安灞桥大平医院,民营/专科医院,未知
