省,市,区,全名,别名,性质,等级
陕西省,西安市,长安区,陕西省生殖保健中心,陕西省生殖保健医院,公立/专科医院,未评级
陕西省,西安市,长安区,西安交通大学第二附属医院,西北医院,其他/综合医院,三级甲等　　
陕西省,西安市,长安区,西安市结核病胸部肿瘤医院,西安市胸科医院,公立/专科医院,三级乙等
陕西省,西安市,长安区,西安市长安区妇幼保健院,西安市长安区妇幼保健院,公立/专科医院,一级甲等
陕西省,西安市,长安区,西安市长安区精神病院,西安市长安区精神病院,公立/专科医院,二级乙等
陕西省,西安市,长安区,西安市长安区中医院,西安市长安区中医院,公立/综合医院,二级乙等
陕西省,西安市,长安区,西安市长安区医院,西安市长安区医院,公立/综合医院,二级乙等
陕西省,西安市,长安区,长安县医院,长安县医院,公立/综合医院,二级乙等
陕西省,西安市,长安区,西安长安龙泉医院,西安长安龙泉医院,公立/综合医院,二级甲等
陕西省,西安市,长安区,西安尚德医院,西安尚德医院,公立/综合医院,二级甲等
陕西省,西安市,长安区,西安长安秦通医院,西安长安秦通医院,公立/综合医院,二级甲等
陕西省,西安市,长安区,西安交通大学医学院第二附属医院,西安皮肤病医院,其他/综合医院,三级甲等　　
陕西省,西安市,长安区,陕西省结核病防治院,陕西省结核病防治院,公立/综合医院,三级甲等　　
陕西省,西安市,长安区,西安航天总医院,西安航天总医院,公立/综合医院,二级甲等
陕西省,西安市,长安区,西安北方医院,西安北方医院,公立/综合医院,二级甲等
陕西省,西安市,长安区,西安现代妇产医院,西安现代妇产医院,公立/综合医院,未知
