省,市,区,全名,别名,性质,等级
陕西省,宝鸡市,渭滨区,宝鸡强仕医院,宝鸡强仕男科医院,其他/其他,未评级
陕西省,宝鸡市,渭滨区,陕西省长岭机器厂职工医院,陕西省长岭机器厂职工医院,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡市渭滨区神农镇医院,宝鸡市渭滨区神农镇医院,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡市渭滨区石坝河医院,宝鸡市渭滨区石坝河医院,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡市渭滨区妇幼保健站,宝鸡市渭滨区妇幼保健站,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡市渭滨中医院,宝鸡市渭滨中医院,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡市开发区医院,宝鸡市开发区医院,民营/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,宝鸡有色金属加工厂职工医院,宝鸡有色金属加工厂职工医院,公立/综合医院,一级甲等
陕西省,宝鸡市,渭滨区,陕西电子四Ｏ九医院,陕西电子四Ｏ九医院,公立/综合医院,二级甲等
陕西省,宝鸡市,渭滨区,宝鸡市第二人民医院,宝鸡市第二人民医院,公立/综合医院,二级甲等
陕西省,宝鸡市,渭滨区,宝鸡协和医院,宝鸡协和医院,民营/综合医院,二级甲等
陕西省,宝鸡市,渭滨区,宝鸡市马营医院,宝鸡市马营医院,公立/综合医院,二级甲等
陕西省,宝鸡市,渭滨区,宝鸡市陈仓医院,宝鸡市陈仓医院,公立/综合医院,二级甲等
陕西省,宝鸡市,渭滨区,宝鸡市妇幼保健院,宝鸡市妇幼保健院,公立/专科医院,三级甲等　　
陕西省,宝鸡市,渭滨区,宝鸡市中心医院,宝鸡市中心医院,公立/综合医院,三级甲等　　
陕西省,宝鸡市,渭滨区,宝鸡丽人医院,宝鸡妇科医院,民营/专科医院,民营医院
陕西省,宝鸡市,渭滨区,宝鸡男健医院,宝鸡男健,民营/专科医院,民营医院
陕西省,宝鸡市,渭滨区,宝鸡市渭滨区中医医院,宝鸡渭滨区中医医院,公立/综合医院,未知
陕西省,宝鸡市,渭滨区,宝鸡华山医院,宝鸡男科医院，宝鸡妇科医院,民营/综合医院,未知
陕西省,宝鸡市,渭滨区,宝钛集团职工医院,七一医院,公立/综合医院,二级乙等
陕西省,宝鸡市,渭滨区,宝鸡市渭滨医院,宝鸡市渭滨医院,公立/综合医院,二级甲等
