省,市,区,全名,别名,性质,等级
陕西省,宝鸡市,金台区,中国人民解放军第三中心医院,中国人民解放军第三中心医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,中国人民解放军第二十八医院武警工程学院医院,中国人民解放军第二十八医院武警工程学院医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡市金台区计划生育服务站四维彩超,宝鸡思维彩超,民营/专科医院,未知
陕西省,宝鸡市,金台区,陕西省第十二棉纺织厂职工医院,陕西省第十二棉纺织厂职工医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,陕西省铁道部宝鸡工程机械厂职工医院,陕西省铁道部宝鸡工程机械厂职工医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡市博爱医院,宝鸡市博爱医院,民营/综合医院,民营医院
陕西省,宝鸡市,金台区,宝鸡市四联中医眼科研究所,宝鸡市四联中医眼科研究所,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡市金台区妇幼保健院,宝鸡市金台区妇幼保健院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡市金台区中医院,宝鸡市金台区中医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡卷烟厂职工医院,宝鸡卷烟厂职工医院,公立/综合医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡市长寿医院,宝鸡市长寿医院,公立/综合医院,二级乙等
陕西省,宝鸡市,金台区,宝鸡市卧龙寺医院,宝鸡市卧龙寺医院,公立/综合医院,二级乙等
陕西省,宝鸡市,金台区,宝鸡石油医院,宝鸡石油医院,公立/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市斗鸡医院,宝鸡市斗鸡医院,公立/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市金台医院,宝鸡市金台医院,公立/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市康复医院,宝鸡市康复医院,公立/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市口腔医院,宝鸡市口腔医院,公立/专科医院,二级甲等
陕西省,宝鸡市,金台区,陕西省荣复军人第一医院,陕西省荣复军人第一医院,公立/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市同仁医院,宝鸡市同仁医院,民营/综合医院,二级甲等
陕西省,宝鸡市,金台区,宝鸡市人民医院,宝鸡市人民医院,公立/综合医院,三级乙等
陕西省,宝鸡市,金台区,宝鸡市中医院,宝鸡市中医院,公立/综合医院,三级甲等　　
陕西省,宝鸡市,金台区,宝鸡华仁男性专科医院,宝鸡华仁男科医院,公立/专科医院,一级甲等
陕西省,宝鸡市,金台区,宝鸡男科医院,宝鸡泌尿专科医院,民营/专科医院,未评级
陕西省,宝鸡市,金台区,宝鸡华仁男科医院,宝鸡华仁泌尿男科医院,民营/专科医院,未知
陕西省,宝鸡市,金台区,宝鸡华仁男科医院,宝鸡男科医院,其他/专科医院,未知
陕西省,宝鸡市,金台区,宝鸡泌尿男科医院,宝鸡泌尿男科医院,民营/专科医院,未知
