省,市,区,全名,别名,性质,等级
陕西省,咸阳市,兴平市,兴平市新胜综合医院,兴平市新胜综合医院,民营/综合医院,一级甲等
陕西省,咸阳市,兴平市,陕西省柴油机厂职工医院,陕西省柴油机厂职工医院,公立/综合医院,一级甲等
陕西省,咸阳市,兴平市,兴平市人民医院,兴平市人民医院,公立/综合医院,二级乙等
陕西省,咸阳市,兴平市,陕西省建筑十一公司职工医院,陕西省建筑十一公司职工医院,公立/综合医院,二级乙等
陕西省,咸阳市,兴平市,兴平市大阜医院,兴平市大阜医院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平市妇幼保健院,兴平市妇幼保健院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,陕西省铁四处医院,陕西省铁四处医院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平市脑病康复研究所,兴平市脑病康复研究所,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平市中医院,兴平市中医院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平一四五医院,兴平一四五医院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平市秦岭医院,兴平市秦岭医院,公立/综合医院,二级甲等
陕西省,咸阳市,兴平市,兴平市综合医院（民营）,兴平市综合医院,个体户/综合医院,一级甲等
