省,市,区,全名,别名,性质,等级
陕西省,咸阳市,三原县,乾兴集团骨伤医院,乾兴集团骨伤医院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县职工医院,三原县职工医院,公立/综合医院,未知
陕西省,咸阳市,三原县,三原县精神病院,三原县精神病院,公立/综合医院,未知
陕西省,咸阳市,三原县,三原县骨科医院,三原县骨科医院,民营/专科医院,一级甲等
陕西省,咸阳市,三原县,三原县同城医院,三原县同城医院,民营/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县广仁医院,三原县广仁医院,民营/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县秦原医院,三原县秦原医院,民营/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县东周职工医院,三原县东周职工医院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县徐木医院,三原县徐木医院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县大程医院,三原县大程医院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县眼科医院,三原县眼科医院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县妇幼保健院,三原县妇幼保健院,公立/综合医院,一级甲等
陕西省,咸阳市,三原县,三原县新中医院,三原县新中医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县医院,三原县医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县陵前地段医院,三原县陵前地段医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县神龙医院,三原县神龙医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县洪水医院,三原县洪水医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县马额医院,三原县马额医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县肛肠医院,三原县肛肠医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县精神病医院,三原县精神病医院,公立/综合医院,二级甲等
陕西省,咸阳市,三原县,三原县中医院,三原县中医院,公立/综合医院,二级甲等
