省,市,区,全名,别名,性质,等级
陕西省,渭南市,华阴市,陕西华山有色冶金机械厂职工医院,陕西华山有色冶金机械厂职工医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,华阴市妇幼保健院,华阴市妇幼保健院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,华阴市夫水医院,华阴市夫水医院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市五合医院,华阴市五合医院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市骨质增生专科医院,华阴市骨质增生专科医院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市华山协和医院,华阴市华山协和医院,民营/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市人民医院,华阴市人民医院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市精神病院,华阴市精神病院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市东吴骨科医院,华阴市东吴骨科医院,公立/专科医院,二级甲等
陕西省,渭南市,华阴市,华阴市中医院,华阴市中医院,公立/综合医院,二级甲等
陕西省,渭南市,华阴市,华阴市中医医院,华阴市中医医院,公立/中医医院,二级乙等
陕西省,渭南市,华阴市,西北第二合成药厂职工医院,西北第二合成药厂职工医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,陕西省荣誉军人康复医院,陕西省荣誉军人康复医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,华山冶金车辆厂职工医院,华山冶金车辆厂职工医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,秦岭发电厂职工医院,秦岭发电厂职工医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,中国第十冶金建设公司职工医院,中国第十冶金建设公司职工医院,公立/综合医院,一级甲等
陕西省,渭南市,华阴市,黄河工程机械厂职工医院,黄河工程机械厂职工医院,公立/综合医院,一级甲等
