省,市,区,全名,别名,性质,等级
陕西省,渭南市,韩城市,韩城市社会保障医院,韩城市社会保障医院,公立/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市龙门医院,韩城市龙门医院,公立/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市苏东精神病院,韩城市苏东精神病院,公立/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城铁路医院,韩城铁路医院,公立/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市眼科医院,韩城市眼科医院,民营/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市联合医院,韩城市联合医院,民营/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市东府医院,韩城市东府医院,民营/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城矿务局第二医院,韩城矿务局第二医院,公立/综合医院,一级甲等
陕西省,渭南市,韩城市,韩城市李家第一骨科医院,韩城市李家第一骨科医院,公立/专科医院,一级甲等
陕西省,渭南市,韩城市,韩城市棉沟骨科医院,韩城市棉沟骨科医院,民营/专科医院,一级甲等
陕西省,渭南市,韩城市,韩城市郭氏正骨医院,韩城市郭氏正骨医院,民营/综合医院,二级乙等
陕西省,渭南市,韩城市,韩城市下峪口分院,韩城市下峪口分院,民营/综合医院,二级乙等
陕西省,渭南市,韩城市,韩城市人寿保康医院,韩城市人寿保康医院,民营/综合医院,二级乙等
陕西省,渭南市,韩城市,韩城市人民医院,韩城市人民医院,公立/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城矿务局总医院,韩城矿务局总医院,公立/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城市康复医院,韩城市康复医院,公立/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城市友谊医院,韩城市友谊医院,民营/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城市妇幼保健院,韩城市妇幼保健院,公立/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城市中医院韩城市第二人民医院,韩城市中医院韩城市第二人民医院,公立/综合医院,二级甲等
陕西省,渭南市,韩城市,韩城市第二人民医院,韩城市第二人民医院,公立/综合医院,未知
