省,市,区,全名,别名,性质,等级
陕西省,渭南市,蒲城县,蒲白矿务局马村煤矿医院,蒲白矿务局马村煤矿医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县创伤医院,蒲城县创伤医院,个体户/综合医院,未知
陕西省,渭南市,蒲城县,蒲城县创伤医院（民营）,蒲城县创伤医院,个体户/综合医院,未知
陕西省,渭南市,蒲城县,蒲城县康复骨伤医院,蒲城县康复骨伤医院,公立/综合医院,未知
陕西省,渭南市,蒲城县,蒲城县妇幼保健站,蒲城县妇幼保健站,公立/综合医院,未知
陕西省,渭南市,蒲城县,蒲城县博爱医院,蒲城县博爱医院,民营/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县兴镇中心卫生院,蒲城县兴镇中心卫生院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县孙镇地段医院,蒲城县孙镇地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县蒲石地段医院,蒲城县蒲石地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县荆姚镇地段医院,蒲城县荆姚镇地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县马湖地段医院,蒲城县马湖地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县罕井地段医院,蒲城县罕井地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县高阳地段医院,蒲城县高阳地段医院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县西街产院,蒲城县西街产院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县东街产院,蒲城县东街产院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县康雪亭产院,蒲城县康雪亭产院,公立/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城龙阳仁厚骨伤医院,蒲城龙阳仁厚骨伤医院,民营/综合医院,一级甲等
陕西省,渭南市,蒲城县,蒲城县中医院,蒲城县中医院,公立/综合医院,二级甲等
陕西省,渭南市,蒲城县,蒲城县医院,蒲城县医院,公立/综合医院,二级甲等
陕西省,渭南市,蒲城县,蒲白矿务局职工医院,蒲白矿务局职工医院,公立/综合医院,一级甲等
