省,市,区,全名,别名,性质,等级
陕西省,渭南市,富平县,富平协和医院,协和医院,民营/综合医院,民营医院
陕西省,渭南市,富平县,富平县供销职工医院,富平县供销职工医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县南关医院,富平县南关医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县东上官医院,富平县东上官医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县卫协医院,富平县卫协医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县残联广仁医院,富平县残联广仁医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县社会福利康复中心,富平县社会福利康复中心,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县朱老二骨伤医院,富平县朱老二骨伤医院,民营/综合医院,一级甲等
陕西省,渭南市,富平县,富平县妇幼保健院,富平妇幼院,公立/综合医院,二级甲等
陕西省,渭南市,富平县,富平县中医院,富平县中医院,公立/综合医院,一级甲等
陕西省,渭南市,富平县,富平县医院,富平县医院,公立/综合医院,二级甲等
陕西省,渭南市,富平县,马莉马战脊柱专科医院（民营）,马莉马战脊柱专科医院,个体户/综合医院,一级甲等
陕西省,渭南市,富平县,富平县精神病院,富平县精神病院,公立/综合医院,未知
