省,市,区,全名,别名,性质,等级
陕西省,延安市,宝塔区,姚家坡监狱职工医院,姚家坡监狱职工医院,公立/综合医院,一级甲等
陕西省,延安市,宝塔区,延安市急救中心,延安市急救中心,公立/综合医院,一级甲等
陕西省,延安市,宝塔区,延安市宝塔区人民医院,延安市宝塔区人民医院,公立/综合医院,二级甲等
陕西省,延安市,宝塔区,延安市妇幼保健院,延安市妇幼保健院,公立/其他,未评级
陕西省,延安市,宝塔区,延安市宝塔区中医院,延安市宝塔区中医院,公立/综合医院,三级乙等
陕西省,延安市,宝塔区,延安市中医院,延安市中医院,公立/综合医院,三级甲等　　
陕西省,延安市,宝塔区,延安市人民医院,延安市人民医院,公立/综合医院,三级甲等　　
陕西省,延安市,宝塔区,延安阳光泌尿外科医院,延安阳光男科医院,合资/专科医院,未评级
陕西省,延安市,宝塔区,延安五洲男科医院,延安男科医院,合资/专科医院,未知
陕西省,延安市,宝塔区,延安男科医院,延安男性生殖医学研究院,合资/专科医院,未评级
陕西省,延安市,宝塔区,延安市宝塔区中医院,延安市宝塔区中医院,公立/综合医院,三级乙等
陕西省,延安市,宝塔区,延安市第二人民医院,延安市第二人民医院,公立/综合医院,二级甲等
陕西省,延安市,宝塔区,延安市宝塔区南泥湾地段医院,延安市宝塔区南泥湾地段医院,公立/综合医院,一级甲等
陕西省,延安市,宝塔区,延安市宝塔区元龙寺医院,延安市宝塔区元龙寺医院,公立/综合医院,一级甲等
陕西省,延安市,宝塔区,延安市宝塔区妇幼保健院,延安市宝塔区妇幼保健院,公立/专科医院,一级甲等
陕西省,延安市,宝塔区,延安市博爱医院,延安市博爱医院,民营/综合医院,二级甲等
陕西省,延安市,宝塔区,延安市中医院,延安市中医院,公立/综合医院,三级甲等　　
陕西省,延安市,宝塔区,延安市中医医院,延安市中医医院,公立/综合医院,一级甲等
