省,市,区,全名,别名,性质,等级
陕西省,汉中市,汉台区,汉中市第二人民医院汉中市传染病医院,汉中市第二人民医院汉中市传染病医院,公立/综合医院,一级甲等
陕西省,汉中市,汉台区,汉江职工医院,汉江职工医院,公立/综合医院,二级乙等
陕西省,汉中市,汉台区,538医院,538医院,公立/综合医院,一级甲等
陕西省,汉中市,汉台区,汉中男健医院,皇家医圈医院,民营/综合医院,民营医院
陕西省,汉中市,汉台区,汉中市明元骨科医院,汉中明元骨科医院,民营/专科医院,二级甲等
陕西省,汉中市,汉台区,汉中市中医院,汉中市中医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市第二人民医院,汉中市第二人民医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市人民医院,汉中市人民医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市卫生学校附属医院,汉中市卫生学校附属医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市口腔医院,汉中市口腔医院,公立/专科医院,二级甲等
陕西省,汉中市,汉台区,汉中男健医院,汉中男健医院,民营/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市汉台区妇幼保健院,汉中市汉台区妇幼保健院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市汉台区中医院,汉中市汉台区中医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中市七里医院,汉中市七里医院,公立/综合医院,二级甲等
陕西省,汉中市,汉台区,汉中三二Ｏ一医院,汉中三二Ｏ一医院,公立/综合医院,三级甲等　　
陕西省,汉中市,汉台区,汉中市中心医院,汉中市中心医院,公立/综合医院,三级甲等　　
陕西省,汉中市,汉台区,汉中康源风湿病医院,汉中风湿病医院,民营/专科医院,民营医院
陕西省,汉中市,汉台区,汉中远大妇产医院,远大妇产医院,民营/专科医院,未评级
陕西省,汉中市,汉台区,汉中佳和美生殖健康医院,汉中佳和美医院,民营/专科医院,未知
