省,市,区,全名,别名,性质,等级
甘肃省,兰州市,七里河区,兰州市七里河区中医医院,兰州市七里河区中医医院,公立/中医医院,二级甲等
甘肃省,兰州市,七里河区,兰州北大皮肤综合门诊部,兰州北大皮肤病医院,民营/专科医院,未评级
甘肃省,兰州市,七里河区,兰州军区兰州总医院,兰州陆军总院,公立/综合医院,三级甲等　　
甘肃省,兰州市,七里河区,武警甘肃总队医院,武警甘肃总队医院,公立/综合医院,一级甲等
甘肃省,兰州市,七里河区,兰州五洲皮肤病医院,兰州五洲银屑病医院,民营/专科医院,未知
甘肃省,兰州市,七里河区,兰州肛泰肛肠医院,兰州肛肠医院,民营/专科医院,未评级
甘肃省,兰州市,七里河区,兰州西京医院,兰州西京男科医院,公立/综合医院,未知
甘肃省,兰州市,七里河区,兰州市第四人民医院,兰州市中医医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州脊椎病骨科医院,兰州脊椎病骨科医院,民营/专科医院,一级甲等
甘肃省,兰州市,七里河区,兰州电机厂职工医院,兰州电机厂职工医院,公立/综合医院,一级甲等
甘肃省,兰州市,七里河区,甘肃省妇幼保健院,甘肃省妇幼保健院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州通用机械厂职工医院,兰州通用机械厂职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,中北集团兰州机车厂医院,中北集团兰州机车厂医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,甘肃省建筑职工医院,省建职工医院,公立/综合医院,未知
甘肃省,兰州市,七里河区,兰州市第三人民医院,兰州市第三人民医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州石油化工机械厂职工医院,兰州石油化工机械厂职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,甘肃省中医院,甘肃省中医院,公立/综合医院,三级甲等　　
甘肃省,兰州市,七里河区,兰州市第一人民医院,兰州市第一人民医院,公立/综合医院,三级甲等　　
甘肃省,兰州市,七里河区,兰州军区总医院,兰州陆军总院,公立/综合医院,三级甲等　　
甘肃省,兰州市,七里河区,兰州安定医院,兰州安定医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州市七里河区人民医院,兰州市七里河区人民医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州市残疾儿童康复中心,兰州市残疾儿童康复中心,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州市社会福利精神病院,兰州市精神康复医院,公立/综合医院,二级甲等
甘肃省,兰州市,七里河区,兰州第一人民医院,兰州第一人民医院,公立/综合医院,三级甲等　　
甘肃省,兰州市,七里河区,甘肃省肿瘤医院,甘肃省医学科学研究院,公立/专科医院,三级甲等　　
甘肃省,兰州市,七里河区,阿干镇煤矿职工医院,阿干镇煤矿职工医院,公立/综合医院,一级甲等
甘肃省,兰州市,七里河区,甘肃圣德瑞康医院,圣德瑞康医院,其他/其他,未评级
