省,市,区,全名,别名,性质,等级
甘肃省,兰州市,西固区,国营五Ｏ四厂职工医院,国营五Ｏ四厂职工医院,公立/综合医院,一级甲等
甘肃省,兰州市,西固区,兰州市西固区妇幼保健院,兰州市西固区妇幼保健院,公立/妇幼保健医院,未知
甘肃省,兰州市,西固区,中国核工业总公司五零四厂职工医院,中国核工业总公司五零四厂职工医院,公立/综合医院,一级甲等
甘肃省,兰州市,西固区,甘肃省兰州维尼纶厂职工医院,甘肃省兰州维尼纶厂职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,甘肃省黄河铝业有限公司职工医院,甘肃省黄河铝业有限公司职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州西固区妇幼保健院,兰州西固区妇幼保健院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州炼油化工职工医院,兰州炼油化工职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州平板玻璃厂职工医院,兰州平板玻璃厂职工医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州西固区中医院,兰州西固区中医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州市西固区人民医院,兰州市西固区人民医院,公立/综合医院,二级甲等
甘肃省,兰州市,西固区,兰州化学工业公司职工医院,兰州医学院附属天浩医院,公立/综合医院,三级乙等
甘肃省,兰州市,西固区,兰州大学附属天浩医院,兰州大学附属天浩医院,公立/综合医院,三级乙等
甘肃省,兰州市,西固区,有色总公司一建公司第二职工医院,有色总公司一建公司第二职工医院,公立/综合医院,一级甲等
