省,市,区,全名,别名,性质,等级
甘肃省,天水市,秦州区,甘肃省电子部第四零七医院,甘肃省电子部第四零七医院,公立/综合医院,一级甲等
甘肃省,天水市,秦州区,天水市秦城区医院,天水市秦城区医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市眼科医院,天水市眼科医院,公立/专科医院,二级甲等
甘肃省,天水市,秦州区,甘肃天水四Ｏ七医院,407医院,个体户/综合医院,未知
甘肃省,天水市,秦州区,天水市秦州区医院,天水市秦州区医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市新天坛医院,天水市新天坛医院,民营/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市第四人民医院,天水市第四人民医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市妇幼保健院,天水市妇幼保健院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市中医院,天水市中医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市第三人民医院,天水市第三人民医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市第一人民医院,天水市第一人民医院,公立/综合医院,三级甲等　　
甘肃省,天水市,秦州区,天水女子医院,天水女子医院,民营/专科医院,民营医院
甘肃省,天水市,秦州区,天水博爱医院,天水市红十字会博爱医院,合资/综合医院,未知
甘肃省,天水市,秦州区,天水男科医院,天水男科医院,民营/专科医院,未评级
甘肃省,天水市,秦州区,天水市秦州区人民医院,天水市秦州区人民医院,公立/综合医院,二级甲等
甘肃省,天水市,秦州区,天水市精神病院,天水市精神病院,公立/综合医院,一级甲等
甘肃省,天水市,秦州区,首钢岷山机械厂职工医院,首钢岷山机械厂职工医院,公立/综合医院,一级甲等
甘肃省,天水市,秦州区,天水市泌尿专科医院,天水泌尿医院,合资/专科医院,未评级
