省,市,区,全名,别名,性质,等级
甘肃省,嘉峪关市,市区,濮阳市武警医院,濮阳市武警医院,公立/综合医院,未知
甘肃省,嘉峪关市,市区,濮阳市精神病医院,濮阳市精神病医院,公立/综合医院,二级甲等
甘肃省,嘉峪关市,市区,濮阳市妇幼保健院,濮阳市妇女儿童医院,公立/综合医院,二级甲等
甘肃省,嘉峪关市,市区,濮阳市中医院,濮阳市中医院,公立/综合医院,三级甲等　　
甘肃省,嘉峪关市,市区,濮阳市人民医院,濮阳市人民医院,公立/综合医院,三级甲等　　
甘肃省,嘉峪关市,市区,濮阳和平男科医院,濮阳和平男科医院,民营/综合医院,未知
甘肃省,嘉峪关市,市区,濮阳东方医院,濮阳东方医院,民营/综合医院,未知
甘肃省,嘉峪关市,市区,濮阳市华龙区人民医院,濮阳市华龙区人民医院,公立/综合医院,一级甲等
甘肃省,嘉峪关市,市区,濮阳市炎夏医院,濮阳市炎夏医院,个体户/综合医院,一级甲等
甘肃省,嘉峪关市,市区,华龙张玮医疗美容诊所,濮阳张玮医疗美容,民营/门诊,民营医院
甘肃省,嘉峪关市,市区,濮阳美林苑整形连锁机构,美林苑整形,民营/专科医院,民营医院
甘肃省,嘉峪关市,市区,濮阳平民医院,濮阳平民男科医院,民营/专科医院,未评级
