省,市,区,全名,别名,性质,等级
甘肃省,武威市,凉州区,武威市人民医院,武威市人民医院,公立/综合医院,三级乙等
甘肃省,武威市,凉州区,武威市中医医院,武威市中医医院,公立/综合医院,一级甲等
甘肃省,武威市,凉州区,武威市妇幼保健院,武威市妇幼保健院,公立/综合医院,一级甲等
甘肃省,武威市,凉州区,凉州区中医院,凉州区中医院,公立/综合医院,未知
甘肃省,武威市,凉州区,凉州区第二人民医院,凉州区第二人民医院,公立/综合医院,未知
甘肃省,武威市,凉州区,武威市红十字精神病院,武威市红十字精神病院,公立/综合医院,一级甲等
甘肃省,武威市,凉州区,武南铁路医院,武南铁路医院,公立/综合医院,一级甲等
甘肃省,武威市,凉州区,凉州区人民医院,凉州区人民医院,公立/综合医院,未知
甘肃省,武威市,凉州区,武威南铁路医院,武威南铁路医院,公立/综合医院,一级甲等
甘肃省,武威市,凉州区,武威仁爱门诊部,武威仁爱皮肤科,民营/门诊,未评级
甘肃省,武威市,凉州区,凉州医院,武威市人民医院,公立/综合医院,未知
甘肃省,武威市,凉州区,甘肃省黄羊河实业公司职工医院,甘肃省黄羊河实业公司职工医院,公立/综合医院,二级甲等
甘肃省,武威市,凉州区,武威市第二人民医院,武威市第二人民医院,公立/综合医院,二级甲等
甘肃省,武威市,凉州区,武威市中医院,武威市中医院,公立/综合医院,二级甲等
甘肃省,武威市,凉州区,武威地区中医院,武威地区中医院,公立/综合医院,二级甲等
甘肃省,武威市,凉州区,武威地区人民医院,武威地区人民医院,公立/综合医院,二级甲等
甘肃省,武威市,凉州区,武威肿瘤医院,武威医学科学院,公立/专科医院,三级甲等　　
甘肃省,武威市,凉州区,武威市肿瘤防治医院,武威市肿瘤防治医院,公立/专科医院,二级甲等
