省,市,区,全名,别名,性质,等级
甘肃省,陇南,武都县,陇南市第一人民医院,陇南市第一人民医院,公立/综合医院,三级甲等　　
甘肃省,陇南,武都县,陇南地区人民医院,陇南地区人民医院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,陇南市精神病康复医院,陇南市精神病康复医院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,陇南男科医院,陇南市男科医院,民营/专科医院,民营医院
甘肃省,陇南,武都县,陇南市人民医院,陇南市人民医院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,陇南中西医结合医院,陇南骨科医院,其他/综合医院,未评级
甘肃省,陇南,武都县,陇南西京医院,陇南西京医院,民营/综合医院,未评级
甘肃省,陇南,武都县,甘肃省陇南地区妇幼保健院,甘肃省陇南地区妇幼保健院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,甘肃省白龙江林业管理局中心医院,甘肃省白龙江林业管理局中心医院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,武都县中医院,武都县中医院,公立/综合医院,一级甲等
甘肃省,陇南,武都县,武都县第一人民医院,武都县第一人民医院,公立/综合医院,二级甲等
甘肃省,陇南,武都县,甘肃省陇南地区精神病康复医院,甘肃省陇南地区精神病康复医院,公立/综合医院,二级甲等
甘肃省,陇南,武都县,陇南市第二人民医院,甘肃省紧急救援中心陇南分中心,公立/综合医院,二级乙等
甘肃省,陇南,武都县,陇南市武都区武都区中医院,陇南市武都区武都区中医院,公立/中医医院,二级甲等
甘肃省,陇南,武都县,陇南市武都区第一人民医院,陇南市武都区第一人民医院,公立/综合医院,未知
甘肃省,陇南,武都县,陇南眼科医院,陇南眼科医院,民营/专科医院,民营医院
