省,市,区,全名,别名,性质,等级
青海省,西宁市,城东区,青海省生殖保健院,青海省生殖保健院,民营/综合医院,未评级
青海省,西宁市,城东区,青海省西宁市城东红十字医院,青海省西宁市城东红十字医院,公立/综合医院,未知
青海省,西宁市,城东区,青海省第二建筑公司医院,青海省第二建筑公司医院,公立/综合医院,未知
青海省,西宁市,城东区,青海省康乐医院,青海省康乐医院,民营/综合医院,未知
青海省,西宁市,城东区,青海省妇幼保健院,青海省妇幼保健院,公立/综合医院,未知
青海省,西宁市,城东区,西宁市回族医院,西宁市回族医院,公立/综合医院,二级乙等
青海省,西宁市,城东区,青海省第五人民医院,西宁铁路医院,公立/综合医院,二级甲等
青海省,西宁市,城东区,青海省人民医院,青海省人民医院,公立/综合医院,三级甲等　　
青海省,西宁市,城东区,青海省康复医院,青海省康复医院,公立/综合医院,二级甲等
青海省,西宁市,城东区,青海省妇女儿童医院,青海省儿童医院,公立/专科医院,三级甲等　　
青海省,西宁市,城东区,青海省妇产儿童医院,青海省妇产儿童医院,公立/综合医院,三级甲等　　
青海省,西宁市,城东区,西宁铁路分局西宁医院,西宁铁路分局西宁医院,公立/综合医院,一级甲等
青海省,西宁市,城东区,青海省精神卫生防治院,青海省精神卫生防治院,公立/综合医院,一级甲等
青海省,西宁市,城东区,中国人民解放军536医院,中国人民解放军536医院,公立/综合医院,一级甲等
