省,市,区,全名,别名,性质,等级
青海省,西宁市,城西区,西宁欧亚泌尿专科医院,西宁欧亚医院,外资/综合医院,未评级
青海省,西宁市,城西区,西宁市生殖保健院,市生殖保健院,民营/专科医院,未知
青海省,西宁市,城西区,西宁昆仑医院,西宁昆仑胃肠医院,合资/综合医院,未评级
青海省,西宁市,城西区,西宁博泰生殖健康医院,西宁博泰医院,合资/专科医院,未评级
青海省,西宁市,城西区,西宁超微骨科医院,西宁超微骨科医院,合资/专科医院,未评级
青海省,西宁市,城西区,青海东大肛肠医院,青海东大肛肠医院,民营/专科医院,未知
青海省,西宁市,城西区,西宁市计划生育指导中心,西宁计生中心,其他/门诊,未评级
青海省,西宁市,城西区,西宁市城西区人民医院,西宁市城西区人民医院,公立/综合医院,未知
青海省,西宁市,城西区,青海省职业病防治院,青海省职业病防治院,公立/综合医院,未知
青海省,西宁市,城西区,青海省第四建筑公司医院,青海省第四建筑公司医院,公立/综合医院,未知
青海省,西宁市,城西区,青海省第一建筑公司医院,青海省第一建筑公司医院,公立/综合医院,未知
青海省,西宁市,城西区,青海省邮电医院,青海省邮电医院,公立/综合医院,未知
青海省,西宁市,城西区,青海省交通医院,青海省交通医院,公立/综合医院,二级甲等
青海省,西宁市,城西区,青海省心血管病专科医院,青海省心血管病专科医院,公立/综合医院,三级甲等　　
青海省,西宁市,城西区,青海大学附属医院,青大附院,公立/综合医院,三级甲等　　
青海省,西宁市,城西区,青海医学院附属医院,青海医学院附属肿瘤医院,公立/综合医院,三级甲等　　
