省,市,区,全名,别名,性质,等级
宁夏,银川市,兴庆区,银川博爱医院（民营）,银川博爱医院（民营）,个体户/综合医院,一级甲等
宁夏,银川市,兴庆区,宁夏回族自治区中医院,宁夏回族自治区中医院,公立/综合医院,一级甲等
宁夏,银川市,兴庆区,银川中美宁大医院,银川中美宁大医院,其他/综合医院,一级甲等
宁夏,银川市,兴庆区,宁夏回族自治区妇幼保健院,宁夏回族自治区妇幼保健院,公立/综合医院,二级甲等
宁夏,银川市,兴庆区,中国人民解放军第五医院,中国人民解放军第五医院,公立/综合医院,三级甲等　　
宁夏,银川市,兴庆区,银川市中医院,银川市中医院,公立/综合医院,三级甲等　　
宁夏,银川市,兴庆区,银川欧亚男键医院,银川欧亚男科医院,其他/专科医院,未评级
宁夏,银川市,兴庆区,宁夏华夏医院,宁夏最好的无痛人流医院,民营/综合医院,未知
宁夏,银川市,兴庆区,银川军大皮肤病医院,银川皮肤病医院,民营/综合医院,民营医院
宁夏,银川市,兴庆区,宁夏泌尿专科医院,宁夏男科医院,民营/专科医院,二级甲等
宁夏,银川市,兴庆区,宁夏中德皮肤病医院,银川中德皮肤病医院,其他/专科医院,未知
宁夏,银川市,兴庆区,宁夏西京妇产医院,银川妇科医院,民营/专科医院,民营医院
