省,市,区,全名,别名,性质,等级
新疆,乌鲁木齐市,天山区,五洲男科医院,新疆五洲男科医院,民营/专科医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐美奥口腔医院,新疆美奥口腔医院,民营/门诊,民营医院
新疆,乌鲁木齐市,天山区,中国人民解放军乌鲁木齐23医院,乌鲁木齐23医院,公立/综合医院,三级乙等
新疆,乌鲁木齐市,天山区,乌鲁木齐普瑞眼科医院,乌鲁木齐普瑞眼科医院,民营/专科医院,民营医院
新疆,乌鲁木齐市,天山区,乌鲁木齐阿波罗医院,乌鲁木齐阿波罗医院,民营/综合医院,未知
新疆,乌鲁木齐市,天山区,自治区残联博爱医院,乌鲁木齐博爱医院,公立/综合医院,未评级
新疆,乌鲁木齐市,天山区,天山区健康路蕾特恩美容院,乌鲁木齐蕾特恩专业祛痘,民营/专科医院,未评级
新疆,乌鲁木齐市,天山区,乌鲁木齐中山医院,乌鲁木齐中山肛肠医院,其他/专科医院,未评级
新疆,乌鲁木齐市,天山区,乌鲁木齐凤凰妇产医院,凤凰妇产医院,民营/专科医院,未知
新疆,乌鲁木齐市,天山区,乌鲁木齐新华山医院,乌鲁木齐新华山医院,合资/综合医院,未知
新疆,乌鲁木齐市,天山区,乌鲁木齐都市丽人医院,都市丽人医院,民营/专科医院,民营医院
新疆,乌鲁木齐市,天山区,乌鲁木齐当代女子医院,乌鲁木齐当代女子医院,民营/专科医院,未评级
新疆,乌鲁木齐市,天山区,新疆福寿康医院,新疆福寿康医院,民营/综合医院,民营医院
新疆,乌鲁木齐市,天山区,新疆自治区人民医院北院,乌鲁木齐肛肠医院,公立/综合医院,未知
新疆,乌鲁木齐市,天山区,新疆维吾尔自治区建工医院,新疆维吾尔自治区建工医院,公立/综合医院,一级甲等
新疆,乌鲁木齐市,天山区,兰州军区乌鲁木齐总医院,人民解放军兰州军区乌鲁木齐总医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆兵团肿瘤医院,新疆生产建设兵团医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆维吾尔自治区中医医院,新疆维吾尔自治区中医医院,其他/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆天山医院,新疆天山医院,公立/综合医院,一级甲等
新疆,乌鲁木齐市,天山区,新疆佳音医院,新疆佳音医院生殖医学中心,民营/专科医院,一级甲等
新疆,乌鲁木齐市,天山区,新疆自治区肺科医院,新疆自治区肺科医院,公立/专科医院,未知
新疆,乌鲁木齐市,天山区,新疆维吾尔自治区维吾尔医医院,新疆维吾尔自治区维吾尔医医院,公立/综合医院,未知
新疆,乌鲁木齐市,天山区,新疆医科大学第六附属医院,新疆建工医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市第四人民医院,新疆精神卫生中心,公立/专科医院,未知
新疆,乌鲁木齐市,天山区,乌鲁木齐市妇幼保健院,乌鲁木齐市妇产医院,其他/综合医院,三级乙等
新疆,乌鲁木齐市,天山区,新疆生产建设兵团总医院,石河子大学医学院第二附属医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆自治区人民医院,新疆自治区人民医院,其他/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,乌鲁木齐市友谊医院,乌鲁木齐市第三医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,中国人民解放军第二十三医院,中国人民解放军第二十三医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市一零四团医院,乌鲁木齐市一零四团医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市第一人民医院,乌鲁木齐市第一人民医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市一Ｏ四团医院,乌鲁木齐市一Ｏ四团医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市五星截瘫医院,乌鲁木齐市五星截瘫医院,民营/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市精神病院,乌鲁木齐市精神病院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市眼耳鼻喉专科医院,乌鲁木齐市眼耳鼻喉专科医院,公立/专科医院,二级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐市南门第二中医院,乌鲁木齐市南门第二中医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,天山区,新疆自治区人民医院第一附属医院,新疆自治区人民医院第一附属医院,公立/综合医院,三级乙等
新疆,乌鲁木齐市,天山区,新疆医科大学附属中医医院,新疆医科大学附属中医医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆建工医院新疆骨科（脊柱外科）医院,新疆建工医院新疆骨科（脊柱外科）医院,公立/综合医院,一级甲等
新疆,乌鲁木齐市,天山区,乌鲁木齐肾病医院,乌鲁木齐肾病医院,其他/专科医院,未评级
新疆,乌鲁木齐市,天山区,新疆兵团肿瘤医院,新疆生产建设兵团医院,公立/综合医院,三级甲等　　
新疆,乌鲁木齐市,天山区,新疆生产建设兵团医院,新疆兵团医院,公立/综合医院,三级甲等　　
