省,市,区,全名,别名,性质,等级
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐新军都白癜风医院,乌鲁木齐白癜风专科医院_新疆白癜风医院,其他/专科医院,未评级
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐新光明医院骨科诊疗中心,乌鲁木齐新光明医院骨科诊疗中心,民营/专科医院,民营医院
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐大西北皮肤病医院,新疆白癜风研究院,民营/专科医院,一级甲等
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐中兴医院,乌鲁木齐中兴医院,其他/专科医院,未评级
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐阳光妇科医院,乌鲁木齐妇科医院,其他/专科医院,未评级
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐西部耳鼻喉医院,新疆西部耳鼻喉医院,民营/专科医院,未评级
新疆,乌鲁木齐市,沙依巴克区,新疆石油管理局乌鲁木齐医院,新疆石油管理局乌鲁木齐医院,公立/综合医院,未知
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐市中医院,乌鲁木齐市中医院,公立/综合医院,三级乙等
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐市口腔医院,乌鲁木齐市口腔医院,公立/专科医院,三级甲等　　
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐市西山医院,乌鲁木齐市西山医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,沙依巴克区,新疆自治区人民医院分院,新疆自治区人民医院分院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,沙依巴克区,新疆煤矿总医院,新疆煤矿总医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,沙依巴克区,中国人民武装警察部队新疆总队医院,中国人民武装警察部队新疆总队医院,公立/综合医院,三级乙等
新疆,乌鲁木齐市,沙依巴克区,乌鲁木齐天佑肛肠医院,新疆肛肠医院,民营/专科医院,民营医院
