省,市,区,全名,别名,性质,等级
新疆,乌鲁木齐市,东山区,东山县疾病预防控制中心,东山县疾病预防控制中心,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县樟塘卫生院,东山县樟塘卫生院,公立/综合医院,一级医院
新疆,乌鲁木齐市,东山区,东山县前楼卫生院,东山县前楼卫生院,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县康美卫生院,东山县康美卫生院,公立/综合医院,一级医院
新疆,乌鲁木齐市,东山区,东山县杏陈卫生院,东山县杏陈卫生院,公立/综合医院,一级医院
新疆,乌鲁木齐市,东山区,东山县铜陵社区卫生服务中心,东山县铜陵社区卫生服务中心,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县计生服务站,东山县计生服务站,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县妇幼保健院,东山县妇幼保健院,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县陈城中心卫生院,东山县陈城中心卫生院,公立/综合医院,一级医院
新疆,乌鲁木齐市,东山区,东山县西埔社区卫生服务中心,东山县西埔社区卫生服务中心,公立/综合医院,未知
新疆,乌鲁木齐市,东山区,东山县康美镇卫生院预防接种门诊,东山县康美镇卫生院预防接种门诊,其他/其他,未知
新疆,乌鲁木齐市,东山区,东山县中医院,东山县中医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,东山区,东山县医院,东山县医院,公立/综合医院,二级甲等
新疆,乌鲁木齐市,东山区,东山县第二医院,东山县第二医院,公立/综合医院,二级甲等
