省,市,区,全名,别名,性质,等级
新疆,哈密,哈密市,哈密市妇幼保健所,哈密市妇幼保健所,公立/综合医院,未知
新疆,哈密,哈密市,哈密地区牙病防治中心,哈密地区牙病防治中心,公立/综合医院,未知
新疆,哈密,哈密市,哈密市城郊医院,哈密市城郊医院,公立/综合医院,未知
新疆,哈密,哈密市,哈密地区维吾尔医院,哈密地区维吾尔医院,公立/综合医院,未知
新疆,哈密,哈密市,哈密地区结核病防治所,哈密地区结核病防治所,公立/综合医院,一级甲等
新疆,哈密,哈密市,哈密市人民医院,哈密市人民医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密地区妇幼保健站,哈密地区妇幼保健站,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密三道岭矿务局医院,哈密三道岭矿务局医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密地区第二人民医院,哈密铁路医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密地区中心医院,哈密地区中心医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密铁路医院,哈密铁路医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密市妇幼保健站,哈密市妇幼保健站,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密地区人民医院,哈密地区人民医院,公立/综合医院,二级甲等
新疆,哈密,哈密市,哈密朝阳医院,哈密地区生殖保健院,其他/综合医院,未知
新疆,哈密,哈密市,哈密博爱医院,哈密妇科医院,合资/综合医院,未评级
新疆,哈密,哈密市,新疆兵团哈管局红星医院,新疆兵团哈管局红星医院,公立/综合医院,一级甲等
新疆,哈密,哈密市,农十三师红星医院,农十三师红星医院,公立/综合医院,一级甲等
