省,市,区,全名,别名,性质,等级
新疆,喀什,喀什市,喀什传染病医院,喀什传染病医院,公立/综合医院,一级甲等
新疆,喀什,喀什市,喀什地区结核病防治所,喀什地区结核病防治所,公立/综合医院,二级乙等
新疆,喀什,喀什市,喀什地区第一人民医院,喀什地区第一人民医院,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什市妇幼保健站,喀什市妇幼保健站,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什市人民医院,喀什市人民医院,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什地区妇幼保健站,喀什地区妇幼保健站,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什地区维吾尔医医院,喀什地区维吾尔医医院,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什地区第二人民医院,喀什地区第二人民医院,公立/综合医院,二级甲等
新疆,喀什,喀什市,喀什地区妇幼保健医院,喀什地区妇幼保健医院,公立/综合医院,未知
新疆,喀什,喀什市,农三师医院,农三师医院,公立/综合医院,一级甲等
新疆,喀什,喀什市,新疆喀什兵团农三师五十团医院,新疆喀什兵团农三师五十团医院,公立/综合医院,未知
新疆,喀什,喀什市,武警新疆总队南疆分院,武警新疆总队南疆分院,公立/综合医院,一级甲等
新疆,喀什,喀什市,喀什市妇科医院,喀什不孕不育医院,合资/专科医院,未知
新疆,喀什,喀什市,喀什地区精神病院,喀什地区精神病院,公立/综合医院,未知
新疆,喀什,喀什市,喀什曙光医院,喀什曙光医院,合资/综合医院,未评级
新疆,喀什,喀什市,喀什计划生育生殖健康专科医院,喀什计划生育生殖健康专科医院,合资/综合医院,未评级
新疆,喀什,喀什市,喀什华康医院,喀什妇科医院,合资/综合医院,未知
新疆,喀什,喀什市,喀什同仁妇科医院,喀什人流医院,合资/专科医院,未知
