省,市,区,全名,别名,性质,等级
新疆,昌吉州,昌吉市,昌吉市第二人民医院,昌吉市第二人民医院,公立/综合医院,未知
新疆,昌吉州,昌吉市,新疆兵团农六师医院,新疆兵团农六师医院,公立/综合医院,一级甲等
新疆,昌吉州,昌吉市,神农中医院,神农中医院,公立/综合医院,一级甲等
新疆,昌吉州,昌吉市,新疆兵团农六师一Ｏ三团医院,新疆兵团农六师一Ｏ三团医院,公立/综合医院,一级甲等
新疆,昌吉州,昌吉市,昌吉州结核病防治所,昌吉州结核病防治所,公立/综合医院,一级甲等
新疆,昌吉州,昌吉市,昌吉州口腔病防治中心,昌吉州口腔病防治中心,公立/专科医院,一级甲等
新疆,昌吉州,昌吉市,昌吉州人民医院,昌吉州人民医院,公立/综合医院,二级甲等
新疆,昌吉州,昌吉市,昌吉市人民医院,昌吉市人民医院,公立/综合医院,二级甲等
新疆,昌吉州,昌吉市,昌吉市妇幼保健站,昌吉市妇幼保健站,公立/综合医院,二级甲等
新疆,昌吉州,昌吉市,昌吉州中医院,昌吉州中医院,公立/综合医院,三级乙等
新疆,昌吉州,昌吉市,昌吉新时代妇科医院,新时代妇科医院,合资/专科医院,未评级
新疆,昌吉州,昌吉市,昌吉市医学生殖保健院,昌吉生殖保健院,其他/综合医院,未知
