省,市,区,全名,别名,性质,等级
新疆,博尔塔拉州,博乐市,博乐市妇幼保健站,博乐市妇幼保健站,公立/综合医院,二级甲等
新疆,博尔塔拉州,博乐市,博乐市人民医院,博乐市人民医院,公立/综合医院,二级甲等
新疆,博尔塔拉州,博乐市,新疆博州妇幼保健院,新疆博州妇幼保健院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,博尔塔拉州蒙医院,博尔塔拉州蒙医院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,博尔塔拉蒙古自治州蒙医医院,博尔塔拉蒙古自治州蒙医医院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,农五师医院,农五师医院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,新疆兵团农五师医院,新疆兵团农五师医院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,博尔塔拉蒙古自治州人民医院分院,博尔塔拉蒙古自治州人民医院分院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,博尔塔拉蒙古自治州妇幼保健院,博尔塔拉蒙古自治州妇幼保健院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,新疆博州人民医院,新疆博州人民医院,公立/综合医院,一级甲等
新疆,博尔塔拉州,博乐市,博尔塔拉蒙古自治州人民医院,博尔塔拉蒙古自治州人民医院,公立/综合医院,一级甲等
