省,市,区,全名,别名,性质,等级
新疆,伊犁州,奎屯市,伊犁哈萨克自治州奎屯医院,伊犁哈萨克自治州奎屯医院,公立/综合医院,三级乙等
新疆,伊犁州,奎屯市,新疆伊犁州奎屯市兵团农七师一三一团医院,新疆伊犁州奎屯市兵团农七师一三一团医院,公立/综合医院,二级甲等
新疆,伊犁州,奎屯市,新疆伊犁州奎屯医院,新疆伊犁州奎屯医院,公立/综合医院,三级乙等
新疆,伊犁州,奎屯市,奎屯铁路医院,奎屯铁路医院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,奎屯市农七师棉纺织厂职工医院,奎屯市农七师棉纺织厂职工医院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,奎屯市激光医疗中心,奎屯市激光医疗中心,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,奎屯农七师一建职工医院,奎屯农七师一建职工医院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,奎屯市妇幼保健院,奎屯市妇幼保健院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,奎屯市人民医院,奎屯市人民医院,公立/综合医院,二级甲等
新疆,伊犁州,奎屯市,新疆伊犁州奎屯市兵团农七师一二八团医院,新疆伊犁州奎屯市兵团农七师一二八团医院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,新疆兵团奎屯医院,新疆兵团奎屯医院,公立/综合医院,二级甲等
新疆,伊犁州,奎屯市,新疆伊犁州奎屯市兵团农七师一二四团医院,新疆伊犁州奎屯市兵团农七师一二四团医院,公立/综合医院,一级甲等
新疆,伊犁州,奎屯市,伊犁州奎屯医院铁路分院,伊犁州奎屯医院铁路分院,公立/综合医院,未知
