省,市,区,全名,别名,性质,等级
新疆,伊犁州,伊宁县,伊宁县中医院,伊宁县中医院,公立/综合医院,未知
新疆,伊犁州,伊宁县,伊犁哈萨克自治州中医医院,伊犁哈萨克自治州中医医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,伊犁哈萨克自治州妇幼保健院,伊犁哈萨克自治州妇幼保健院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,新疆伊犁市人民医院,新疆伊犁市人民医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,新疆伊犁地区人民医院,新疆伊犁地区人民医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,武警8660部队医院,武警8660部队医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,新疆兵团农四师医院,新疆兵团农四师医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,新疆伊犁州中医院,新疆伊犁州中医院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,新疆伊犁哈萨克自治州友谊医院,新疆伊犁哈萨克自治州友谊医院,公立/综合医院,三级甲等　　
新疆,伊犁州,伊宁县,伊犁都市妇科医院,伊犁都市妇科医院,合资/专科医院,未知
新疆,伊犁州,伊宁县,伊宁县妇幼保健站,伊宁县妇幼保健站,公立/综合医院,未知
新疆,伊犁州,伊宁县,伊犁哈萨克自治州精神病院,伊犁哈萨克自治州精神病院,公立/综合医院,一级甲等
新疆,伊犁州,伊宁县,伊宁县人民医院,伊宁县人民医院,公立/综合医院,二级甲等
新疆,伊犁州,伊宁县,伊宁博爱医院,伊宁博爱医院,合资/综合医院,未知
新疆,伊犁州,伊宁县,伊犁东方医院,伊犁东方医院,民营/综合医院,民营医院
