省,市,区,全名,别名,性质,等级
新疆,巴音郭楞州,库尔勒市,巴音郭楞州兵团农二师焉耆医院,巴音郭楞州兵团农二师焉耆医院,公立/综合医院,一级甲等
新疆,巴音郭楞州,库尔勒市,库尔勒市妇幼保健院团结分院,库尔勒市妇幼保健院团结分院,公立/妇幼保健医院,未知
新疆,巴音郭楞州,库尔勒市,库尔勒市维吾尔医医院,库尔勒市维吾尔医医院,公立/综合医院,未知
新疆,巴音郭楞州,库尔勒市,库尔勒市民族中医院,库尔勒市民族中医院,公立/中医医院,未知
新疆,巴音郭楞州,库尔勒市,中国人民解放军第二七三医院,中国人民解放军第二七三医院,公立/综合医院,一级甲等
新疆,巴音郭楞州,库尔勒市,库尔勒铁路医院,库尔勒铁路医院,公立/综合医院,未知
新疆,巴音郭楞州,库尔勒市,巴音郭楞蒙古自治州社会福利院,巴音郭楞蒙古自治州社会福利院,公立/综合医院,一级甲等
新疆,巴音郭楞州,库尔勒市,库尔勒市维吾尔医院,库尔勒市维吾尔医院,公立/综合医院,未知
新疆,巴音郭楞州,库尔勒市,巴州人民医院,巴州人民医院,公立/综合医院,未知
新疆,巴音郭楞州,库尔勒市,新疆兵团农二师库尔勒医院,新疆兵团农二师库尔勒医院,公立/综合医院,二级甲等
新疆,巴音郭楞州,库尔勒市,新疆四运集团公司医院,新疆四运集团公司医院,公立/综合医院,一级甲等
新疆,巴音郭楞州,库尔勒市,新疆兵团农二师二十九团医院,新疆兵团农二师二十九团医院,公立/综合医院,一级甲等
新疆,巴音郭楞州,库尔勒市,农二师库尔勒医院,农二师库尔勒医院,公立/综合医院,二级甲等
新疆,巴音郭楞州,库尔勒市,库尔勒市妇幼保健院,库尔勒市妇幼保健院,公立/综合医院,未知
