省,市,区,全名,别名,性质,等级
四川省,成都市,武侯区,成都西部白癜风医院,四川成都白癜风医院_成都白癜风专科医院,其他/专科医院,未知
四川省,成都市,武侯区,成都博润白癜风医院,成都白癜风专科医院,其他/专科医院,未知
四川省,成都市,武侯区,成都白癜风医学研究院,成都博润白癜风医院,公立/专科医院,未评级
四川省,成都市,武侯区,成都军区机关医院,成都皮肤病医院,公立/综合医院,三级乙等
四川省,成都市,武侯区,成都东大肛肠医院,东大肛肠医院,民营/专科医院,一级甲等
四川省,成都市,武侯区,成都安琪儿妇产医院,成都安琪儿妇产医院,民营/专科医院,民营医院
四川省,成都市,武侯区,四川生殖卫生学院附属医院,四川生殖卫生学院附属医院,公立/综合医院,一级甲等
四川省,成都市,武侯区,成都平安医院,成都平安医院,公立/综合医院,二级甲等
四川省,成都市,武侯区,武警成都医院,武警四川省总队成都医院,公立/综合医院,二级甲等
四川省,成都市,武侯区,高新华南医院,华西高新医院,其他/综合医院,未知
四川省,成都市,武侯区,成都九洲中西医结合医院,成都康福肾脏病医院,其他/综合医院,未知
四川省,成都市,武侯区,成都高新高鹏疼痛病医院,成都高鹏疼痛病医院,合资/专科医院,民营医院
四川省,成都市,武侯区,成都康福肾脏病医院,成都康福肾脏病医院,其他/专科医院,未知
四川省,成都市,武侯区,成都西南脑科医院,成都癫痫病医院,其他/专科医院,未知
四川省,成都市,武侯区,成都喜得儿不孕不育医院,成都喜得儿医院,民营/专科医院,未评级
四川省,成都市,武侯区,成都新华厦眼科医院,新华厦眼科,民营/专科医院,未知
四川省,成都市,武侯区,四川肛肠医院,四川肛肠医院,民营/专科医院,民营医院
四川省,成都市,武侯区,成都武侯博仕胃肠病医院,成都博仕医院,其他/专科医院,民营医院
四川省,成都市,武侯区,成都武侯川蜀血管病医院,成都川蜀静脉曲张研究院,其他/专科医院,未评级
四川省,成都市,武侯区,四川长征医院（民营）,四川长征医院,个体户/综合医院,一级甲等
四川省,成都市,武侯区,四川省生殖卫生学校附属医院,四川省生殖卫生学校附属医院,公立/综合医院,一级甲等
四川省,成都市,武侯区,成都运动创伤研究所成都体院附院,成都运动创伤研究所成都体院附院,公立/综合医院,一级甲等
四川省,成都市,武侯区,四川中医肝病医院,四川中医肝病医院,其他/专科医院,未评级
四川省,成都市,武侯区,成都蓝天体检中心,蓝天体检,公立/综合医院,一级甲等
四川省,成都市,武侯区,成都武侯华颜医疗美容门诊部,成都华颜医学美容,民营/专科医院,未评级
四川省,成都市,武侯区,成都米兰柏羽医学美容医院,成都米兰柏羽医学美容医院,其他/专科医院,未知
四川省,成都市,武侯区,成都医美整形门诊部,成都医美整形门诊部,其他/门诊,未知
四川省,成都市,武侯区,成都医大医院,成都医大风湿病医院,其他/专科医院,未评级
四川省,成都市,武侯区,西南儿童医院,成都西南儿童医院,其他/专科医院,未知
四川省,成都市,武侯区,成都军盛癫痫医院,成都癫痫病医院,其他/其他,未评级
四川省,成都市,武侯区,成都天使儿童医院,成都天使儿童,民营/综合医院,未评级
四川省,成都市,武侯区,四川赫尔森康复医院,赫尔森康复医院,民营/其他,未评级
四川省,成都市,武侯区,成都大才骨伤诊所,成都大才骨伤诊所,民营/综合医院,一级甲等
四川省,成都市,武侯区,四川省红十字皮肤病医院,成都民生皮肤病研究院,公立/综合医院,一级甲等
四川省,成都市,武侯区,成都康桥医院,成都医学院附属康桥眼科医院,民营/专科医院,未知
四川省,成都市,武侯区,成都市中西医结合医院北区,成都肾康肾病医学研究院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,成都博大男科医院,成都博大泌尿外科医院,民营/专科医院,未知
四川省,成都市,武侯区,成都棕南妇科医院,成都棕南妇科医院,民营/专科医院,未知
四川省,成都市,武侯区,成都阳光妇科医院,阳光妇科医院,民营/专科医院,未知
四川省,成都市,武侯区,四川李顺强男科医院,四川李顺强男科医院,民营/综合医院,未知
四川省,成都市,武侯区,成都明珠医院,成都明珠医院,民营/综合医院,未知
四川省,成都市,武侯区,成都康华医院,成都梅毒性病医院,民营/综合医院,未评级
四川省,成都市,武侯区,四川华西协力医院,四川华西协力医院,民营/综合医院,未知
四川省,成都市,武侯区,成都现代医院,成都现代医院,民营/综合医院,未知
四川省,成都市,武侯区,四川何氏骨科医院,四川何氏骨科医院,民营/专科医院,二级甲等
四川省,成都市,武侯区,四川科健唯美眼科医院,四川科健唯美眼科医院,民营/专科医院,未评级
四川省,成都市,武侯区,成都铁路通信设备厂职工医院,成都铁路通信设备厂职工医院,公立/综合医院,未知
四川省,成都市,武侯区,成都市武侯区永丰医院,成都市武侯区永丰医院,公立/综合医院,未知
四川省,成都市,武侯区,成都市武侯区第二人民医院,武侯区第二人民医院,公立/综合医院,未知
四川省,成都市,武侯区,四川大学华西第四医院,四川大学华西第四医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,四川省教师医院,四川省教师医院,公立/综合医院,未知
四川省,成都市,武侯区,四川大学华西第一医院西藏成办分院,西藏自治区人民政府驻成都办事处医院,公立/综合医院,三级乙等
四川省,成都市,武侯区,成都市血液中心,成都市血液中心,公立/综合医院,未知
四川省,成都市,武侯区,成都市武侯区第五人民医院,成都市武侯金花镇医院,公立/综合医院,二级乙等
四川省,成都市,武侯区,四川省劳动卫生职业病研究所,四川省劳动卫生职业病研究所,公立/综合医院,未知
四川省,成都市,武侯区,四川康骨医院,四川康骨医院,民营/专科医院,未知
四川省,成都市,武侯区,四川长城肾脏病医院,四川长城肾脏病医院,民营/专科医院,二级医院
四川省,成都市,武侯区,成都华西博爱医院,成都华西博爱医院,民营/综合医院,未知
四川省,成都市,武侯区,成都科华医院,成都科华医院,民营/综合医院,未知
四川省,成都市,武侯区,成都市武侯区中医院,成都市武侯区中医院,公立/综合医院,未知
四川省,成都市,武侯区,成都华西牙种植医院,华西医科大学牙种植医院,公立/综合医院,一级甲等
四川省,成都市,武侯区,四川省中医药研究院附属医院,四川省中医药研究院附属医院,公立/综合医院,二级乙等
四川省,成都市,武侯区,成都市武侯区人民医院,成都市武侯区妇幼保健院,公立/综合医院,二级甲等
四川省,成都市,武侯区,四川省交通厅公路局成都医院,四川省交通厅公路局成都医院,公立/综合医院,二级乙等
四川省,成都市,武侯区,成都市武侯区第三人民医院,成都市武侯区第三人民医院,公立/综合医院,二级甲等
四川省,成都市,武侯区,四川省国防医院,四川省国防医院,公立/综合医院,二级乙等
四川省,成都市,武侯区,成都三六三医院,成都三六三医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,成都市第七人民医院,成都市第七人民医院,公立/综合医院,三级乙等
四川省,成都市,武侯区,成都友谊医院,成都脊柱矫形防治中心、四川省红十字骨科医院,民营/综合医院,三级乙等
四川省,成都市,武侯区,成都医学院附属康桥眼科医院,成都康桥眼科医院,民营/专科医院,二级医院
四川省,成都市,武侯区,成都维多利亚女子医院,成都维多利亚女子医院,民营/专科医院,民营医院
四川省,成都市,武侯区,四川大学华西临床医学院,华西医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,四川（西藏）华西普济医院,华西医科大学附属第三医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,四川大学华西第二医院,华西妇产儿童医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,成都市第一人民医院,成都市第一人民医院,公立/综合医院,三级甲等　　
四川省,成都市,武侯区,四川省肿瘤医院,四川省第二人民医院,公立/专科医院,三级甲等　　
四川省,成都市,武侯区,四川大学华西口腔医院,成都华西口腔医院,公立/专科医院,三级甲等　　
四川省,成都市,武侯区,四川省骨科医院,成都体育医院、成都运动创伤研究所,公立/专科医院,三级甲等　　
四川省,成都市,武侯区,成都爱尔眼科医院,成都爱尔眼科医院,民营/专科医院,未知
四川省,成都市,武侯区,成都润禾皮肤病专科医院,成都润禾皮肤病专科医院,民营/专科医院,未评级
四川省,成都市,武侯区,成都白癜风医院,成都白癜风医院,合资/专科医院,未知
