省,市,区,全名,别名,性质,等级
四川省,成都市,成华区,成都新世纪肛肠医院,成都新世纪肛肠医院,个体户/专科医院,未知
四川省,成都市,成华区,成都市成华区八里庄医院,成都市成华区八里庄医院,公立/综合医院,未知
四川省,成都市,成华区,国营新兴仪器厂医院,国营新兴仪器厂医院,公立/综合医院,一级甲等
四川省,成都市,成华区,成都市传染病医院,成都市传染病医院,公立/综合医院,一级甲等
四川省,成都市,成华区,成都军建医院,华西烧烫伤医学研究院,合资/专科医院,未知
四川省,成都市,成华区,成都成华脑康医院,成都脑康医院,民营/专科医院,民营医院
四川省,成都市,成华区,成都一Ｏ四医院,成都一Ｏ四医院,公立/综合医院,一级甲等
四川省,成都市,成华区,成华东区医院,四川省红十字耳鼻喉医院,民营/未知,民营医院
四川省,成都市,成华区,成都市成华区第三人民医院,成都市成华区青龙卫生服务中心,公立/综合医院,一级甲等
四川省,成都市,成华区,成都市成华区第六人民医院,保和社区为甚服务中心,公立/综合医院,一级甲等
四川省,成都市,成华区,成都九星纺织集团生活服务公司职工医院,成都九星纺织集团生活服务公司职工医院,公立/综合医院,未知
四川省,成都市,成华区,成都城东新鸿医院,成都城东新鸿医院,民营/综合医院,未知
四川省,成都市,成华区,成都同仁医院,成都同仁医院,民营/综合医院,未知
四川省,成都市,成华区,成都晋康医院,成都晋康医院,民营/综合医院,未知
四川省,成都市,成华区,成都华川医院,成都华川医院,民营/综合医院,未知
四川省,成都市,成华区,成都电机厂职工医院,成都电机厂职工医院,公立/综合医院,未知
四川省,成都市,成华区,成都宏明电子实业总公司医院,成都八二医院,公立/综合医院,未知
四川省,成都市,成华区,成都市成华区中医院,成都市成华区中西医结合医院,公立/综合医院,未知
四川省,成都市,成华区,四川枝华骨病骨伤研究所附属医院,四川枝华骨病骨伤研究所附属医院,民营/综合医院,未知
四川省,成都市,成华区,成都市交通医院,成都市交通医院,公立/综合医院,一级甲等
四川省,成都市,成华区,成都市成华区红十字医院,成都市成华区红十字医院,公立/综合医院,一级甲等
四川省,成都市,成华区,成都市成华区妇幼保健院,成都市成华区人民医院,公立/综合医院,二级甲等
四川省,成都市,成华区,成都市七八四厂中医骨研所,成都市七八四厂中医骨研所,公立/综合医院,未知
四川省,成都市,成华区,四川省地质医院,四川省地质医院,公立/综合医院,二级乙等
四川省,成都市,成华区,成都国光电气总公司医院,成都国光电气总公司医院,公立/综合医院,二级乙等
四川省,成都市,成华区,四川电力医院,四川电力医院,公立/综合医院,二级乙等
四川省,成都市,成华区,四川石油管理局成都医院,四川石油管理局成都医院,公立/综合医院,二级乙等
四川省,成都市,成华区,成都市第六人民医院,成都市第六人民医院,公立/综合医院,三级甲等　　
四川省,成都市,成华区,成都市新华人民医院,成都新华医院,民营/综合医院,二级甲等
四川省,成都市,成华区,成都誉美医院,中国南车集团成都机车车辆厂医院,公立/综合医院,二级甲等
四川省,成都市,成华区,成都汇康中西医结合医院,成都肝病治疗中心,民营/综合医院,三级乙等
四川省,成都市,成华区,成都君康医院,君康医院,民营/综合医院,二级甲等
四川省,成都市,成华区,成都中医肿瘤研究院附属门诊部,成都中医肿瘤医院,其他/其他,未评级
四川省,成都市,成华区,成都东区爱尔眼科医院,爱尔眼科,民营/专科医院,民营医院
四川省,成都市,成华区,成都万年医院,成都万年医院,其他/综合医院,未知
