省,市,区,全名,别名,性质,等级
四川省,成都市,都江堰市,都江堰超声波特检专科医院,都江堰超声波特检专科医院,公立/综合医院,未知
四川省,成都市,都江堰市,水电部第十工程局职工医院,水电部第十工程局职工医院,公立/综合医院,一级甲等
四川省,成都市,都江堰市,都江堰蜀都医院,都江堰蜀都泌尿医院，都江堰男科医院,民营/综合医院,未知
四川省,成都市,都江堰市,都江堰华康医院,华康医院,民营/综合医院,未评级
四川省,成都市,都江堰市,都江堰和美妇科医院,都江堰和美医院,民营/专科医院,未评级
四川省,成都市,都江堰市,都江堰古堰门诊部,都江堰男科医院，都江堰妇科医院,民营/综合医院,未知
四川省,成都市,都江堰市,四川地勘局四Ｏ五医院,都江堰405医院,公立/综合医院,未知
四川省,成都市,都江堰市,四川省都江堰计划生育指导站,四川省都江堰计划生育指导站,公立/综合医院,未知
四川省,成都市,都江堰市,成都市第二卫校附属医院,成都市第二卫校附属医院,公立/综合医院,未知
四川省,成都市,都江堰市,成都市阿坝州林业中心医院,成都市阿坝州林业中心医院,公立/综合医院,二级乙等
四川省,成都市,都江堰市,都江堰市中医骨科专科医院,都江堰市中医骨科专科医院,公立/中医医院,二级乙等
四川省,成都市,都江堰市,都江堰建国医院,成都都江堰建国医院,其他/专科医院,未知
四川省,成都市,都江堰市,都江堰市中医院,都江堰市中医院,公立/综合医院,二级甲等
四川省,成都市,都江堰市,都江堰市宁江机床厂职工医院,都江堰市宁江机床厂职工医院,公立/综合医院,未知
四川省,成都市,都江堰市,都江堰市人民医院,都江堰市医疗中心,公立/综合医院,二级甲等
四川省,成都市,都江堰市,中国水力水电第十工程局职工医院,中国水力水电第十工程局职工医院,公立/综合医院,一级甲等
四川省,成都市,都江堰市,岷江局职工医院,岷江局职工医院,公立/综合医院,一级甲等
四川省,成都市,都江堰市,都江堰市妇幼保健院,都江堰市妇幼保健院,公立/妇幼保健医院,一级甲等
四川省,成都市,都江堰市,都江堰市第二人民医院,都江堰市第二人民医院,公立/综合医院,二级乙等
四川省,成都市,都江堰市,都江堰市甲亢专科医院,都江堰市甲亢专科医院,公立/综合医院,未知
四川省,成都市,都江堰市,都江堰市第二人民医院幸福路分院,都江堰市第二人民医院幸福路分院,公立/综合医院,未知
