省,市,区,全名,别名,性质,等级
四川省,攀枝花市,仁和区,攀枝花市仁和区妇幼保建院,攀枝花市仁和区妇幼保建院,公立/妇幼保健医院,一级甲等
四川省,攀枝花市,仁和区,攀枝花市公路养护管理总段公路医院,攀枝花市公路养护管理总段公路医院,公立/综合医院,一级甲等
四川省,攀枝花市,仁和区,攀枝花仁和区人民医院,攀枝花仁和区人民医院,公立/综合医院,二级乙等
四川省,攀枝花市,仁和区,四川省攀枝花市仁和区福田卫生院,四川省攀枝花市仁和区福田卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,仁和区,攀枝花市第四人民医院,攀枝花市第四人民医院,公立/综合医院,二级乙等
四川省,攀枝花市,仁和区,攀枝花市仁和区大田医院,攀枝花市仁和区大田医院,公立/综合医院,未知
四川省,攀枝花市,仁和区,攀枝花市仁和区妇幼保健院,攀枝花市仁和区妇幼保健院,公立/妇幼保健医院,一级甲等
四川省,攀枝花市,仁和区,攀钢四一Ｏ厂职工医院,攀钢四一Ｏ厂职工医院,公立/综合医院,一级甲等
四川省,攀枝花市,仁和区,攀枝花市仁和区妇幼保健所,攀枝花市仁和区妇幼保健所,公立/综合医院,未知
四川省,攀枝花市,仁和区,攀枝花市桥梁工程职工医院,攀枝花市桥梁工程职工医院,公立/综合医院,一级甲等
四川省,攀枝花市,仁和区,攀枝花光明医院,攀枝花妇科医院,民营/专科医院,民营医院
