省,市,区,全名,别名,性质,等级
四川省,攀枝花市,盐边县,盐边县共和中心卫生院,盐边县共和中心卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县和爱彝族乡卫生院,盐边县和爱彝族乡卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县惠民乡中心卫生院,盐边县惠民乡中心卫生院,公立/综合医院,一级乙等
四川省,攀枝花市,盐边县,盐边县新九乡卫生院,盐边县新九乡卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县渔门中心卫生院,盐边县渔门中心卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县温泉乡卫生院,盐边县温泉乡卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县永兴中心卫生院,盐边县永兴中心卫生院,公立/综合医院,一级乙等
四川省,攀枝花市,盐边县,盐边县大坪子中心卫生院,盐边县大坪子中心卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县鱤鱼彝族乡卫生院,盐边县鱤鱼彝族乡卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县红宝苗族彝族乡卫生院,盐边县红宝苗族彝族乡卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县桐子林镇卫生院,盐边县桐子林镇卫生院,公立/综合医院,一级乙等
四川省,攀枝花市,盐边县,四川省盐边县红格中心卫生院,四川省盐边县红格中心卫生院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县红果医院,盐边县红果医院,公立/综合医院,未知
四川省,攀枝花市,盐边县,盐边县妇幼保健院,盐边县妇幼保健院,公立/综合医院,一级甲等
四川省,攀枝花市,盐边县,盐边县中医院,盐边县中医院,公立/综合医院,二级乙等
四川省,攀枝花市,盐边县,盐边县人民医院,盐边县人民医院,公立/综合医院,二级乙等
