省,市,区,全名,别名,性质,等级
四川省,德阳市,什邡市,什邡市元石镇卫生院,什邡市元石镇卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市云西中心卫生院,什邡市云西中心卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市洛水镇卫生院,什邡市洛水镇卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市红白镇卫生院,什邡市红白镇卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市蓥峰中心卫生院,什邡市蓥峰中心卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市马井镇卫生院,什邡市马井镇卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市双盛镇卫生院,什邡市双盛镇卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市四平镇卫生院,什邡市四平镇卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市中医骨伤医院,什邡市中医骨伤医院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市师古中心卫生院,什邡市师古中心卫生院,公立/综合医院,未知
四川省,德阳市,什邡市,四川省什邡市皮肤病防治院,四川省什邡市皮肤病防治院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市两路口镇卫生院,什邡市两路口镇卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市回澜镇卫生院,什邡市回澜镇卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市湔氐镇卫生院,什邡市湔氐镇卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市南泉镇卫生院,什邡市南泉镇卫生院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市第三人民医院,什邡市第三人民医院,公立/综合医院,一级乙等
四川省,德阳市,什邡市,什邡市隐峰镇中心卫生院,什邡市隐峰镇中心卫生院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,四川省金河磷矿职工医院,四川省金河磷矿职工医院,公立/综合医院,一级甲等
四川省,德阳市,什邡市,什邡市妇幼保健院,什邡市妇幼保健院,公立/综合医院,未知
四川省,德阳市,什邡市,什邡市中医院,什邡市中医院,公立/综合医院,二级乙等
四川省,德阳市,什邡市,什邡市第二人民医院,什邡市第二人民医院,公立/综合医院,二级甲等
四川省,德阳市,什邡市,什邡市人民医院,什邡市人民医院,公立/综合医院,二级甲等
