省,市,区,全名,别名,性质,等级
四川省,绵阳市,涪城区,绵阳肤健皮肤专科门诊部,绵阳白癜风医院_绵阳治疗白癜风医院,公立/专科医院,未评级
四川省,绵阳市,涪城区,绵阳市404医院,川北医学院附属第二医院、绵阳市传染病医院、绵阳市红十字医院,公立/综合医院,三级乙等
四川省,绵阳市,涪城区,广元铁路医院绵阳分院,广元铁路医院绵阳分院,公立/综合医院,一级甲等
四川省,绵阳市,涪城区,绵阳万江眼科医院,绵阳万江眼科医院,民营/专科医院,未知
四川省,绵阳市,涪城区,绵阳市第五人民医院,绵阳市第五人民医院,公立/综合医院,一级甲等
四川省,绵阳市,涪城区,绵阳佰信医院,绵阳佰信医院,民营/综合医院,民营医院
四川省,绵阳市,涪城区,四川中医药高等专科学校附属医院,四川医专附属医院,其他/综合医院,未知
四川省,绵阳市,涪城区,中国人民解放军第五二Ｏ医院,中国人民解放军第五二Ｏ医院,公立/综合医院,一级甲等
四川省,绵阳市,涪城区,绵阳四0四医院,404医院、川北医学院第二附属医院、绵阳市红十字医院,公立/综合医院,三级乙等
四川省,绵阳市,涪城区,绵阳市中医院,绵阳市中医院,公立/综合医院,三级甲等　　
四川省,绵阳市,涪城区,四川省科学城医院分院,四川省科学城医院分院,公立/综合医院,未知
四川省,绵阳市,涪城区,绵阳市骨科医院,绵阳市骨科医院,公立/专科医院,二级甲等
四川省,绵阳市,涪城区,绵阳市第二人民医院,绵阳市第二人民医院,公立/综合医院,二级甲等
四川省,绵阳市,涪城区,绵阳市肿瘤医院,绵阳市肿瘤医院,公立/专科医院,二级甲等
四川省,绵阳市,涪城区,绵阳市妇幼保健院,绵阳市妇幼保健院,公立/综合医院,二级甲等
四川省,绵阳市,涪城区,绵阳市中心医院,绵阳市中心医院,公立/综合医院,三级甲等　　
