省,市,区,全名,别名,性质,等级
四川省,绵阳市,江油市,国营八五七厂职工医院,国营八五七厂职工医院,公立/综合医院,一级甲等
四川省,绵阳市,江油市,四川材料与工艺研究所医院,四川材料与工艺研究所医院,公立/综合医院,未知
四川省,绵阳市,江油市,江油市精神病医院,江油市精神病医院,公立/综合医院,未知
四川省,绵阳市,江油市,江油市妇幼保健院,江油市妇幼保健院,公立/专科医院,未评级
四川省,绵阳市,江油市,四川双马水泥,四川双马水泥,公立/综合医院,未知
四川省,绵阳市,江油市,江油市第三人民医院,江油市第三人民医院,公立/综合医院,未知
四川省,绵阳市,江油市,江油市第二人民医院,江油市急救中心,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油市第五人民医院,江油市第五人民医院,公立/综合医院,未知
四川省,绵阳市,江油市,江油市第四人民医院,江油市第四人民医院,公立/综合医院,一级甲等
四川省,绵阳市,江油市,四川川投长城特殊钢公司第二钢厂职工医院,四川川投长城特殊钢公司第二钢厂职工医院,公立/综合医院,二级乙等
四川省,绵阳市,江油市,江油市骨科医院,江油市骨科医院,公立/专科医院,二级乙等
四川省,绵阳市,江油市,四川川投长城特殊钢公司第四钢厂职工医院,四川川投长城特殊钢公司第四钢厂职工医院,公立/综合医院,二级乙等
四川省,绵阳市,江油市,四川川投长城特殊钢公司第三钢厂职工医院,四川川投长城特殊钢公司第三钢厂职工医院,公立/综合医院,二级乙等
四川省,绵阳市,江油市,四川川投长城特殊钢,四川川投长城特殊钢,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油市人民医院,江油市人民医院,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油铁厂职工医院,江油铁厂职工医院,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油市中医院,江油市中医院,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油市三0五医院,江油市三0五医院,公立/综合医院,二级甲等
四川省,绵阳市,江油市,江油康桥医院,江油康桥医院,合资/综合医院,二级乙等
四川省,绵阳市,江油市,江油市九岭镇卫生院,江油市九岭镇卫生院,公立/综合医院,一级乙等
四川省,绵阳市,江油市,江油市马角镇卫生院,江油市马角镇卫生院,公立/综合医院,一级甲等
