省,市,区,全名,别名,性质,等级
四川省,绵阳市,北川县,北川县中医院,北川县中医院,公立/综合医院,未知
四川省,绵阳市,北川县,北川县人民医院,北川县人民医院,公立/综合医院,未知
四川省,绵阳市,北川县,北川县妇幼保健院,北川县妇幼保健院,公立/综合医院,二级乙等
四川省,绵阳市,北川县,北川县第二人民医院,北川县第二人民医院,公立/综合医院,二级乙等
四川省,绵阳市,北川县,中国人民解放军第三五三六工厂职工医院,中国人民解放军第三五三六工厂职工医院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县预防保健中心,北川羌族自治县预防保健中心,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县桃龙藏族乡卫生院,北川羌族自治县桃龙藏族乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县香泉乡卫生院,北川羌族自治县香泉乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,绵阳市北川羌族自治县贯岭卫生院,绵阳市北川羌族自治县贯岭卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,北川羌族自治县马槽乡卫生院,北川羌族自治县马槽乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川县永安中心卫生院,北川县永安中心卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县白坭乡卫生院,北川羌族自治县白坭乡卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,北川羌族自治县曲山镇卫生院,北川羌族自治县曲山镇卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,盐亭县云溪镇卫生院,盐亭县云溪镇卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,北川羌族自治县通口中心卫生院,北川羌族自治县通口中心卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,北川羌族自治县妇幼保健院,北川羌族自治县妇幼保健院,公立/综合医院,二级乙等
四川省,绵阳市,北川县,北川羌族自治县墩上乡卫生院,北川羌族自治县墩上乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县开坪乡卫生院,北川羌族自治县开坪乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县漩坪乡卫生院,北川羌族自治县漩坪乡卫生院,公立/综合医院,一级乙等
四川省,绵阳市,北川县,北川羌族自治县都坝乡卫生院,北川羌族自治县都坝乡卫生院,公立/综合医院,一级甲等
四川省,绵阳市,北川县,北川羌族自治县片口乡卫生院,北川羌族自治县片口乡卫生院,公立/综合医院,一级乙等
